cr_year,jn_all,cc,cc_total,prop
2017,940,CC BY,107,0.11382978723404255
2017,940,CC BY-SA,0,0
2017,940,CC BY-NC,0,0
2017,940,CC BY-NC-SA,0,0
2017,940,CC BY-ND,0,0
2017,940,CC BY-NC-ND,0,0
2018,819,CC BY,171,0.2087912087912088
2018,819,CC BY-SA,0,0
2018,819,CC BY-NC,0,0
2018,819,CC BY-NC-SA,0,0
2018,819,CC BY-ND,0,0
2018,819,CC BY-NC-ND,0,0
2019,738,CC BY,287,0.3888888888888889
2019,738,CC BY-SA,0,0
2019,738,CC BY-NC,0,0
2019,738,CC BY-NC-SA,0,0
2019,738,CC BY-ND,0,0
2019,738,CC BY-NC-ND,0,0
2020,760,CC BY,386,0.5078947368421053
2020,760,CC BY-SA,0,0
2020,760,CC BY-NC,0,0
2020,760,CC BY-NC-SA,0,0
2020,760,CC BY-ND,0,0
2020,760,CC BY-NC-ND,0,0
2021,649,CC BY,451,0.6949152542372882
2021,649,CC BY-SA,0,0
2021,649,CC BY-NC,0,0
2021,649,CC BY-NC-SA,0,0
2021,649,CC BY-ND,0,0
2021,649,CC BY-NC-ND,0,0
2022,619,CC BY,537,0.8675282714054927
2022,619,CC BY-SA,0,0
2022,619,CC BY-NC,0,0
2022,619,CC BY-NC-SA,0,0
2022,619,CC BY-ND,0,0
2022,619,CC BY-NC-ND,0,0
2023,500,CC BY,384,0.768
2023,500,CC BY-SA,0,0
2023,500,CC BY-NC,0,0
2023,500,CC BY-NC-SA,0,0
2023,500,CC BY-ND,0,0
2023,500,CC BY-NC-ND,0,0
