country_name_fct,cr_year,articles,cc_total,prop
China,'17,2244,63,0.02807486631016043
China,'18,2565,67,0.02612085769980507
China,'19,2913,67,0.023000343288705802
China,'20,2837,116,0.040888262248854425
China,'21,2028,149,0.07347140039447732
China,'22,1325,206,0.15547169811320755
China,'23,3659,278,0.07597704290789833
United States,'17,1870,105,0.05614973262032086
United States,'18,1820,114,0.06263736263736264
United States,'19,1616,119,0.07363861386138613
United States,'20,1581,136,0.08602150537634409
United States,'21,1085,166,0.15299539170506912
United States,'22,713,211,0.2959326788218794
United States,'23,1308,683,0.52217125382263
Japan,'17,1432,85,0.05935754189944134
Japan,'18,1357,86,0.06337509211495947
Japan,'19,920,99,0.10760869565217392
Japan,'20,967,127,0.1313340227507756
Japan,'21,656,156,0.23780487804878048
Japan,'22,585,147,0.2512820512820513
Japan,'23,739,127,0.17185385656292287
Germany,'17,962,111,0.11538461538461539
Germany,'18,830,172,0.20722891566265061
Germany,'19,752,292,0.3882978723404255
Germany,'20,775,392,0.5058064516129033
Germany,'21,652,454,0.696319018404908
Germany,'22,622,540,0.8681672025723473
Germany,'23,646,526,0.8142414860681114
United Kingdom,'17,714,210,0.29411764705882354
United Kingdom,'18,621,210,0.33816425120772947
United Kingdom,'19,546,170,0.31135531135531136
United Kingdom,'20,662,424,0.6404833836858006
United Kingdom,'21,552,450,0.8152173913043478
United Kingdom,'22,570,537,0.9421052631578948
United Kingdom,'23,482,417,0.8651452282157677
India,'17,447,4,0.008948545861297539
India,'18,457,1,0.002188183807439825
India,'19,557,6,0.010771992818671455
India,'20,688,11,0.015988372093023256
India,'21,509,11,0.021611001964636542
India,'22,399,13,0.03258145363408521
India,'23,1074,44,0.040968342644320296
Italy,'17,530,37,0.06981132075471698
Italy,'18,446,35,0.07847533632286996
Italy,'19,405,35,0.08641975308641975
Italy,'20,479,55,0.11482254697286012
Italy,'21,301,59,0.19601328903654486
Italy,'22,233,68,0.2918454935622318
Italy,'23,386,286,0.7409326424870466
France,'17,476,46,0.09663865546218488
France,'18,368,30,0.08152173913043478
France,'19,316,30,0.0949367088607595
France,'20,325,43,0.13230769230769232
France,'21,247,50,0.20242914979757085
France,'22,198,52,0.26262626262626265
