cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,852,Crossref,105,0.12323943661971831
2017,Germany,852,Unpaywall,109,0.12793427230046947
2018,Germany,731,Crossref,163,0.22298221614227087
2018,Germany,731,Unpaywall,164,0.2243502051983584
2019,Germany,663,Crossref,257,0.38763197586727
2019,Germany,663,Unpaywall,251,0.37858220211161386
2020,Germany,661,Crossref,335,0.5068078668683812
2020,Germany,661,Unpaywall,327,0.4947049924357035
2021,Germany,481,Crossref,340,0.7068607068607069
2021,Germany,481,Unpaywall,313,0.6507276507276507
2022,Germany,441,Crossref,377,0.854875283446712
2022,Germany,441,Unpaywall,360,0.8163265306122449
2023,Germany,270,Crossref,196,0.725925925925926
2023,Germany,270,Unpaywall,191,0.7074074074074074
