esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023
IOP (TIB),Germany,TDM Support,1,1,1,1,1,1,1
IOP (TIB),Germany,ORCID,0.27102803738317754,0.847953216374269,0.8827586206896552,0.896640826873385,0.9227373068432672,0.8333333333333334,0.8168421052631579
IOP (TIB),Germany,Funder info,0.5887850467289719,0.6666666666666666,0.6206896551724138,0.6976744186046512,0.6821192052980133,0.6518518518518519,0.6231578947368421
IOP (TIB),Germany,Open Abstracts,0.018691588785046728,0,0.7551724137931034,0.8372093023255814,0.9116997792494481,0.9888888888888889,0.9936842105263158
IOP (TIB),Germany,Open Citations,0.9906542056074766,1,0.996551724137931,0.9870801033591732,0.9977924944812362,0.9962962962962963,0.991578947368421
IOP (TIB),Global,TDM Support,1,1,1,1,1,1,1
IOP (TIB),Global,ORCID,0.29718456725756,0.7707129094412332,0.818639798488665,0.8704284221525601,0.8595976529756916,0.8351177730192719,0.827808988764045
IOP (TIB),Global,Funder info,0.62148070907195,0.6522157996146436,0.6574307304785895,0.680773249738767,0.6860854987426656,0.6630977872947894,0.6407303370786517
IOP (TIB),Global,Open Abstracts,0.016684045881126174,0.004816955684007707,0.6666666666666666,0.8490073145245559,0.915758591785415,0.9846538187009279,0.9918539325842697
IOP (TIB),Global,Open Citations,0.9885297184567258,0.9922928709055877,0.9924433249370277,0.9911180773249739,0.9874266554903605,0.9914346895074947,0.9938202247191011
