cr_year,jn_all,cc,cc_total,prop
2017,413,CC BY,0,0
2017,413,CC BY-SA,0,0
2017,413,CC BY-NC,0,0
2017,413,CC BY-NC-SA,0,0
2017,413,CC BY-ND,0,0
2017,413,CC BY-NC-ND,14,0.03389830508474576
2018,329,CC BY,0,0
2018,329,CC BY-SA,0,0
2018,329,CC BY-NC,0,0
2018,329,CC BY-NC-SA,0,0
2018,329,CC BY-ND,0,0
2018,329,CC BY-NC-ND,13,0.03951367781155015
2019,371,CC BY,1,0.0026954177897574125
2019,371,CC BY-SA,0,0
2019,371,CC BY-NC,0,0
2019,371,CC BY-NC-SA,0,0
2019,371,CC BY-ND,0,0
2019,371,CC BY-NC-ND,15,0.04043126684636118
2020,438,CC BY,5,0.01141552511415525
2020,438,CC BY-SA,0,0
2020,438,CC BY-NC,76,0.1735159817351598
2020,438,CC BY-NC-SA,0,0
2020,438,CC BY-ND,0,0
2020,438,CC BY-NC-ND,16,0.0365296803652968
2021,346,CC BY,23,0.06647398843930635
2021,346,CC BY-SA,0,0
2021,346,CC BY-NC,79,0.22832369942196531
2021,346,CC BY-NC-SA,0,0
2021,346,CC BY-ND,0,0
2021,346,CC BY-NC-ND,1,0.002890173410404624
2022,98,CC BY,19,0.19387755102040816
2022,98,CC BY-SA,0,0
2022,98,CC BY-NC,13,0.1326530612244898
2022,98,CC BY-NC-SA,0,0
2022,98,CC BY-ND,0,0
2022,98,CC BY-NC-ND,0,0
2023,26,CC BY,6,0.23076923076923078
2023,26,CC BY-SA,0,0
2023,26,CC BY-NC,3,0.11538461538461539
2023,26,CC BY-NC-SA,0,0
2023,26,CC BY-ND,0,0
2023,26,CC BY-NC-ND,0,0
