cr_year,cc,cc_total,jn_all,prop
2017,CC BY,10,4963,0.0020149103364900263
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,1,4963,2.0149103364900262e-4
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,169,4963,0.03405198468668144
2018,CC BY,8,5195,0.0015399422521655437
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,1,5195,1.9249278152069297e-4
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,215,5195,0.04138594802694899
2019,CC BY,31,5174,0.005991495941244685
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,5,5174,9.663703131039815e-4
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,201,5174,0.03884808658678005
2020,CC BY,29,5151,0.005629974762182101
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,261,5151,0.050669772859638904
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,168,5151,0.032615026208503206
2021,CC BY,110,5543,0.01984484935955259
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,683,5543,0.12321847375067653
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,5,5543,9.020386072523904e-4
2022,CC BY,257,4328,0.05938077634011091
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,599,4328,0.1384011090573013
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,27,4328,0.0062384473197781886
2023,CC BY,470,4294,0.10945505356311132
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,638,4294,0.14857941313460643
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,24,4294,0.0055891942244993015
2024,CC BY,465,4041,0.11507052709725316
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,641,4041,0.15862410294481563
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,26,4041,0.006434050977480821
2025,CC BY,227,2122,0.10697455230914232
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,378,2122,0.17813383600377003
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,18,2122,0.008482563619227144
