country_name_fct,cr_year,articles,cc_total,prop
United States,'17,631,23,0.03645007923930269
United States,'18,597,21,0.035175879396984924
United States,'19,628,16,0.025477707006369428
United States,'20,535,32,0.059813084112149535
United States,'21,596,72,0.12080536912751678
United States,'22,487,88,0.1806981519507187
United States,'23,501,158,0.3153692614770459
United States,'24,288,77,0.2673611111111111
China,'17,226,4,0.017699115044247787
China,'18,361,6,0.01662049861495845
China,'19,495,10,0.020202020202020204
China,'20,449,16,0.035634743875278395
China,'21,616,73,0.1185064935064935
China,'22,436,96,0.22018348623853212
China,'23,534,128,0.2397003745318352
China,'24,327,79,0.2415902140672783
Germany,'17,452,14,0.030973451327433628
Germany,'18,460,14,0.030434782608695653
Germany,'19,433,15,0.03464203233256351
Germany,'20,523,96,0.1835564053537285
Germany,'21,487,132,0.27104722792607805
Germany,'22,355,110,0.30985915492957744
Germany,'23,295,109,0.3694915254237288
Germany,'24,197,75,0.38071065989847713
Japan,'17,234,17,0.07264957264957266
Japan,'18,339,15,0.04424778761061947
Japan,'19,322,22,0.06832298136645963
Japan,'20,273,52,0.19047619047619047
Japan,'21,297,68,0.22895622895622897
Japan,'22,270,68,0.2518518518518518
Japan,'23,244,72,0.29508196721311475
Japan,'24,149,35,0.2348993288590604
Italy,'17,173,4,0.023121387283236993
Italy,'18,266,6,0.022556390977443608
Italy,'19,230,4,0.017391304347826087
Italy,'20,271,6,0.02214022140221402
Italy,'21,252,11,0.04365079365079365
Italy,'22,183,27,0.14754098360655737
Italy,'23,171,28,0.16374269005847952
Italy,'24,108,31,0.28703703703703703
United Kingdom,'17,130,13,0.1
United Kingdom,'18,132,11,0.08333333333333333
United Kingdom,'19,166,21,0.12650602409638553
United Kingdom,'20,145,22,0.15172413793103448
United Kingdom,'21,120,43,0.35833333333333334
United Kingdom,'22,106,52,0.49056603773584906
United Kingdom,'23,96,64,0.6666666666666666
United Kingdom,'24,57,30,0.5263157894736842
Turkey,'17,42,0,0
Turkey,'18,91,0,0
Turkey,'19,85,0,0
Turkey,'20,139,0,0
Turkey,'21,162,3,0.018518518518518517
Turkey,'22,103,9,0.08737864077669903
Turkey,'23,128,19,0.1484375
Turkey,'24,91,8,0.08791208791208792
Netherlands,'17,79,49,0.620253164556962
Netherlands,'18,131,104,0.7938931297709924
Netherlands,'19,107,89,0.8317757009345794
Netherlands,'20,99,82,0.8282828282828283
Netherlands,'21,114,94,0.8245614035087719
Netherlands,'22,89,75,0.8426966292134831
Netherlands,'23,98,87,0.8877551020408163
Netherlands,'24,62,51,0.8225806451612904
Brazil,'17,100,1,0.01
Brazil,'18,115,0,0
Brazil,'19,113,2,0.017699115044247787
Brazil,'20,107,1,0.009345794392523364
Brazil,'21,110,3,0.02727272727272727
Brazil,'22,82,5,0.06097560975609756
Brazil,'23,72,8,0.1111111111111111
Brazil,'24,54,6,0.1111111111111111
Spain,'17,83,0,0
Spain,'18,105,5,0.047619047619047616
Spain,'19,110,4,0.03636363636363636
Spain,'20,102,7,0.06862745098039216
Spain,'21,136,12,0.08823529411764706
Spain,'22,71,10,0.14084507042253522
Spain,'23,74,17,0.22972972972972974
Spain,'24,57,17,0.2982456140350877
France,'17,98,0,0
France,'18,117,2,0.017094017094017096
France,'19,104,2,0.019230769230769232
France,'20,93,3,0.03225806451612903
France,'21,99,8,0.08080808080808081
France,'22,86,12,0.13953488372093023
France,'23,61,15,0.2459016393442623
France,'24,50,11,0.22
Switzerland,'17,80,4,0.05
Switzerland,'18,106,4,0.03773584905660377
Switzerland,'19,93,9,0.0967741935483871
Switzerland,'20,98,34,0.3469387755102041
Switzerland,'21,111,53,0.4774774774774775
Switzerland,'22,79,50,0.6329113924050633
Switzerland,'23,77,54,0.7012987012987013
Switzerland,'24,51,24,0.47058823529411764
South Korea,'17,74,0,0
South Korea,'18,111,4,0.036036036036036036
South Korea,'19,96,2,0.020833333333333332
South Korea,'20,87,12,0.13793103448275862
South Korea,'21,96,25,0.2604166666666667
South Korea,'22,70,26,0.37142857142857144
South Korea,'23,61,28,0.45901639344262296
South Korea,'24,66,31,0.4696969696969697
Canada,'17,55,0,0
Canada,'18,90,1,0.011111111111111112
Canada,'19,82,2,0.024390243902439025
Canada,'20,71,15,0.2112676056338028
Canada,'21,101,32,0.31683168316831684
Canada,'22,76,30,0.39473684210526316
Canada,'23,57,23,0.40350877192982454
Canada,'24,55,21,0.38181818181818183
Australia,'17,72,1,0.013888888888888888
Australia,'18,59,4,0.06779661016949153
Australia,'19,68,3,0.04411764705882353
Australia,'20,69,2,0.028985507246376812
Australia,'21,97,25,0.25773195876288657
Australia,'22,61,29,0.47540983606557374
Australia,'23,71,41,0.5774647887323944
Australia,'24,63,32,0.5079365079365079
India,'17,48,1,0.020833333333333332
India,'18,51,1,0.0196078431372549
India,'19,66,3,0.045454545454545456
India,'20,64,0,0
India,'21,103,1,0.009708737864077669
India,'22,60,4,0.06666666666666667
India,'23,51,2,0.0392156862745098
India,'24,42,7,0.16666666666666666
Israel,'17,44,0,0
Israel,'18,50,0,0
Israel,'19,58,1,0.017241379310344827
Israel,'20,70,0,0
Israel,'21,83,23,0.27710843373493976
Israel,'22,59,36,0.6101694915254238
Israel,'23,53,35,0.660377358490566
Israel,'24,32,19,0.59375
Sweden,'17,37,2,0.05405405405405406
Sweden,'18,38,2,0.05263157894736842
Sweden,'19,45,5,0.1111111111111111
Sweden,'20,51,33,0.6470588235294118
Sweden,'21,34,28,0.8235294117647058
Sweden,'22,37,33,0.8918918918918919
Sweden,'23,39,35,0.8974358974358975
Sweden,'24,26,25,0.9615384615384616
Austria,'17,40,4,0.1
Austria,'18,47,1,0.02127659574468085
Austria,'19,60,5,0.08333333333333333
Austria,'20,43,4,0.09302325581395349
Austria,'21,39,18,0.46153846153846156
Austria,'22,31,17,0.5483870967741935
Austria,'23,23,17,0.7391304347826086
Austria,'24,22,12,0.5454545454545454
Belgium,'17,38,1,0.02631578947368421
Belgium,'18,48,0,0
Belgium,'19,35,3,0.08571428571428572
Belgium,'20,40,2,0.05
Belgium,'21,47,3,0.06382978723404255
Belgium,'22,35,8,0.22857142857142856
Belgium,'23,36,10,0.2777777777777778
Belgium,'24,17,2,0.11764705882352941
Other,'17,473,8,0.016913319238900635
Other,'18,582,14,0.024054982817869417
Other,'19,600,19,0.03166666666666667
Other,'20,600,36,0.06
Other,'21,736,84,0.11413043478260869
Other,'22,499,110,0.22044088176352705
Other,'23,512,147,0.287109375
Other,'24,325,106,0.3261538461538461
