cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,453,Crossref,14,0.03090507726269316
2017,Germany,453,Unpaywall,15,0.033112582781456956
2018,Germany,462,Crossref,14,0.030303030303030304
2018,Germany,462,Unpaywall,14,0.030303030303030304
2019,Germany,433,Crossref,15,0.03464203233256351
2019,Germany,433,Unpaywall,19,0.04387990762124711
2020,Germany,522,Crossref,96,0.1839080459770115
2020,Germany,522,Unpaywall,114,0.21839080459770116
2021,Germany,487,Crossref,132,0.27104722792607805
2021,Germany,487,Unpaywall,150,0.3080082135523614
2022,Germany,356,Crossref,110,0.3089887640449438
2022,Germany,356,Unpaywall,109,0.3061797752808989
2023,Germany,294,Crossref,108,0.3673469387755102
2023,Germany,294,Unpaywall,104,0.35374149659863946
2024,Germany,229,Crossref,85,0.37117903930131
2024,Germany,229,Unpaywall,87,0.3799126637554585
