esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Karger (BSB),Germany,TDM Support,1,1,1,1,1,1,1,1
Karger (BSB),Germany,ORCID,0.42857142857142855,0.6428571428571429,0.2,0.42857142857142855,0.556390977443609,0.8108108108108109,0.44036697247706424,0.21052631578947367
Karger (BSB),Germany,Funder info,0,0,0,0,0.007518796992481203,0.009009009009009009,0.009174311926605505,0
Karger (BSB),Germany,Open Abstracts,1,1,1,0.9795918367346939,1,0.9819819819819819,0.963302752293578,0.9605263157894737
Karger (BSB),Germany,Open Citations,0.42857142857142855,0.7142857142857143,0.8,0.9591836734693877,0.9548872180451128,0.7747747747747747,0.6422018348623854,0.881578947368421
Karger (BSB),Global,TDM Support,1,1,1,1,1,1,1,1
Karger (BSB),Global,ORCID,0.32222222222222224,0.5044642857142857,0.4411764705882353,0.46637744034707157,0.6075,0.8076923076923077,0.4364937388193202,0.251063829787234
Karger (BSB),Global,Funder info,0,0,0,0,0.0025,0.005656108597285068,0.005366726296958855,0.0031914893617021275
Karger (BSB),Global,Open Abstracts,0.9611111111111111,0.9285714285714286,0.9201680672268907,0.9544468546637744,0.96625,0.9626696832579186,0.960644007155635,0.9648936170212766
Karger (BSB),Global,Open Citations,0.6,0.48660714285714285,0.6722689075630253,0.928416485900217,0.96125,0.8212669683257918,0.7021466905187835,0.823404255319149
