cat,type,esac_publisher,name,value,prop
global,Springer Hybrid (DEAL),Springer Hybrid (DEAL),Total Articles,1576105,0.36908107510650767
global,Springer Hybrid (DEAL),Springer Hybrid (DEAL),Open Access Articles with Creative Commons License,221521,0.4064337034617897
global,Wiley Hybrid (DEAL),Wiley Hybrid (DEAL),Total Articles,1374652,0.3219062423235197
global,Wiley Hybrid (DEAL),Wiley Hybrid (DEAL),Open Access Articles with Creative Commons License,201270,0.3692783595945956
global,Top 3-13,Sage (BSB),Total Articles,403199,0.094418278225035
global,Top 3-13,Sage (BSB),Open Access Articles with Creative Commons License,35309,0.06478287672740883
global,Top 3-13,RSC (TIB),Total Articles,221576,0.05188709400566558
global,Top 3-13,RSC (TIB),Open Access Articles with Creative Commons License,19310,0.0354288524060796
global,Top 3-13,CUP (BSB),Total Articles,167809,0.03929631980898985
global,Top 3-13,CUP (BSB),Open Access Articles with Creative Commons License,24501,0.04495299393067614
global,Top 3-13,IOP (TIB),Total Articles,107944,0.025277559281454514
global,Top 3-13,IOP (TIB),Open Access Articles with Creative Commons License,12713,0.023325064766364055
global,Other,AIP (TIB),Total Articles,101720,0.02382006716547055
global,Other,AIP (TIB),Open Access Articles with Creative Commons License,30,5.50422357422262e-5
global,Top 3-13,TaylorFrancis (ZBW),Total Articles,86953,0.020362035983475822
global,Top 3-13,TaylorFrancis (ZBW),Open Access Articles with Creative Commons License,9208,0.01689429689048063
global,Top 3-13,Nature (MPDL),Total Articles,73822,0.017287111662302075
global,Top 3-13,Nature (MPDL),Open Access Articles with Creative Commons License,3926,0.007203193917466003
global,Top 3-13,BMJ (BSB),Total Articles,40017,0.009370896851756145
global,Top 3-13,BMJ (BSB),Open Access Articles with Creative Commons License,4621,0.008478339045494242
global,Top 3-13,Karger (BSB),Total Articles,29900,0.0070017696445887675
global,Top 3-13,Karger (BSB),Open Access Articles with Creative Commons License,3236,0.0059372224953948
global,Other,ACM (hebis),Total Articles,23733,0.005557625383780108
global,Other,ACM (hebis),Open Access Articles with Creative Commons License,0,0
global,Top 3-13,De Gruyter (SUB Göttingen),Total Articles,15268,0.003575351803798706
global,Top 3-13,De Gruyter (SUB Göttingen),Open Access Articles with Creative Commons License,1416,0.0025979935270330767
global,Top 3-13,ECS (TIB),Total Articles,12791,0.002995305535917556
global,Top 3-13,ECS (TIB),Open Access Articles with Creative Commons License,3790,0.006953669115434577
global,Other,De Gruyter (ZBW),Total Articles,10087,0.0023621020202330067
global,Other,De Gruyter (ZBW),Open Access Articles with Creative Commons License,982,0.0018017158499622043
global,Other,SPIE (TIB),Total Articles,9748,0.0022827174078746256
global,Other,SPIE (TIB),Open Access Articles with Creative Commons License,21,3.852956501955834e-5
global,Other,Hogrefe (SUB Göttingen),Total Articles,6589,0.0015429652236854646
global,Other,Hogrefe (SUB Göttingen),Open Access Articles with Creative Commons License,819,0.0015026530357627754
global,Top 3-13,Portland Press (TIB),Total Articles,4784,0.0011202831431342028
global,Top 3-13,Portland Press (TIB),Open Access Articles with Creative Commons License,2072,0.003801583748596423
global,Other,Thieme 2 (ZB MED),Total Articles,2901,6.793355765535791e-4
global,Other,Thieme 2 (ZB MED),Open Access Articles with Creative Commons License,250,4.58685297851885e-4
global,Other,Thieme 1 (ZB MED),Total Articles,751,1.7586384625706237e-4
global,Other,Thieme 1 (ZB MED),Open Access Articles with Creative Commons License,41,7.522438884770914e-5
