cat,type,esac_publisher,name,value,prop
de,Elsevier (DEAL),Elsevier (DEAL),Total Articles,120301,0.30751553541256077
de,Elsevier (DEAL),Elsevier (DEAL),Open Access Articles with Creative Commons License,23538,0.15413730780312754
de,Springer Hybrid (DEAL),Springer Hybrid (DEAL),Total Articles,109669,0.2803378297201197
de,Springer Hybrid (DEAL),Springer Hybrid (DEAL),Open Access Articles with Creative Commons License,53762,0.35205752154438535
de,Wiley Hybrid (DEAL),Wiley Hybrid (DEAL),Total Articles,91004,0.2326260279190088
de,Wiley Hybrid (DEAL),Wiley Hybrid (DEAL),Open Access Articles with Creative Commons License,53462,0.3500929879246667
de,Top 4-13,Sage (BSB),Total Articles,12362,0.031599962167979286
de,Top 4-13,Sage (BSB),Open Access Articles with Creative Commons License,3544,0.023207690494276657
de,Top 4-13,RSC (TIB),Total Articles,10026,0.025628637817194655
de,Top 4-13,RSC (TIB),Open Access Articles with Creative Commons License,3853,0.025231160122586898
de,Top 4-13,AIP (TIB),Total Articles,8836,0.02258673885425214
de,Top 4-13,AIP (TIB),Open Access Articles with Creative Commons License,2233,0.014622678576106033
de,Top 4-13,CUP (BSB),Total Articles,5567,0.014230463467815943
de,Top 4-13,CUP (BSB),Open Access Articles with Creative Commons License,2410,0.015781753411740054
de,Top 4-13,IOP (TIB),Total Articles,6898,0.017632789114602903
de,Top 4-13,IOP (TIB),Open Access Articles with Creative Commons License,3157,0.020673442124839563
de,Top 4-13,TaylorFrancis (ZBW),Total Articles,4644,0.011871074608323555
de,Top 4-13,TaylorFrancis (ZBW),Open Access Articles with Creative Commons License,1314,0.008604657254367813
de,Top 4-13,Nature (MPDL),Total Articles,5001,0.01278364429720631
de,Top 4-13,Nature (MPDL),Open Access Articles with Creative Commons License,1413,0.009252953348874977
de,Top 4-13,BMJ (BSB),Total Articles,2790,0.007131847148411439
de,Top 4-13,BMJ (BSB),Open Access Articles with Creative Commons License,428,0.0028027346307986484
de,Top 4-13,Karger (BSB),Total Articles,3319,0.008484086267232103
de,Top 4-13,Karger (BSB),Open Access Articles with Creative Commons License,600,0.003929067239437358
de,Other,ACM (hebis),Total Articles,1590,0.0040643860093097445
de,Other,ACM (hebis),Open Access Articles with Creative Commons License,340,0.0022264714356811694
de,Other,SPIE (TIB),Total Articles,854,0.002183009843994039
de,Other,SPIE (TIB),Open Access Articles with Creative Commons License,0,0
de,Other,De Gruyter (SUB Göttingen),Total Articles,2287,0.005846069687604645
de,Other,De Gruyter (SUB Göttingen),Open Access Articles with Creative Commons License,551,0.0036081934148833065
de,Top 4-13,ECS (TIB),Total Articles,850,0.0021727849735303667
de,Top 4-13,ECS (TIB),Open Access Articles with Creative Commons License,572,0.0037457107682636144
de,Other,De Gruyter (ZBW),Total Articles,1140,0.0029140880821466094
de,Other,De Gruyter (ZBW),Open Access Articles with Creative Commons License,276,0.0018073709301411845
de,Other,Hogrefe (SUB Göttingen),Total Articles,2962,0.007571516578349348
de,Other,Hogrefe (SUB Göttingen),Open Access Articles with Creative Commons License,1028,0.006731801870236006
de,Other,Portland Press (TIB),Total Articles,266,6.799538858342088e-4
de,Other,Portland Press (TIB),Open Access Articles with Creative Commons License,122,7.989103386855961e-4
de,Other,Thieme (ZB MED),Total Articles,837,0.0021395541445234315
de,Other,Thieme (ZB MED),Open Access Articles with Creative Commons License,105,6.875867669015376e-4
