cr_year,jn_all,cc,cc_total,prop
2017,428,CC BY,5,0.011682242990654205
2017,428,CC BY-SA,0,0
2017,428,CC BY-NC,0,0
2017,428,CC BY-NC-SA,0,0
2017,428,CC BY-ND,0,0
2017,428,CC BY-NC-ND,0,0
2018,522,CC BY,8,0.01532567049808429
2018,522,CC BY-SA,0,0
2018,522,CC BY-NC,0,0
2018,522,CC BY-NC-SA,0,0
2018,522,CC BY-ND,0,0
2018,522,CC BY-NC-ND,0,0
2019,564,CC BY,4,0.0070921985815602835
2019,564,CC BY-SA,0,0
2019,564,CC BY-NC,0,0
2019,564,CC BY-NC-SA,0,0
2019,564,CC BY-ND,0,0
2019,564,CC BY-NC-ND,0,0
2020,522,CC BY,9,0.017241379310344827
2020,522,CC BY-SA,0,0
2020,522,CC BY-NC,0,0
2020,522,CC BY-NC-SA,0,0
2020,522,CC BY-ND,0,0
2020,522,CC BY-NC-ND,0,0
2021,589,CC BY,149,0.2529711375212224
2021,589,CC BY-SA,0,0
2021,589,CC BY-NC,0,0
2021,589,CC BY-NC-SA,0,0
2021,589,CC BY-ND,0,0
2021,589,CC BY-NC-ND,0,0
2022,626,CC BY,270,0.43130990415335463
2022,626,CC BY-SA,0,0
2022,626,CC BY-NC,0,0
2022,626,CC BY-NC-SA,0,0
2022,626,CC BY-ND,0,0
2022,626,CC BY-NC-ND,0,0
2023,696,CC BY,351,0.5043103448275862
2023,696,CC BY-SA,0,0
2023,696,CC BY-NC,0,0
2023,696,CC BY-NC-SA,0,0
2023,696,CC BY-ND,0,0
2023,696,CC BY-NC-ND,0,0
2024,706,CC BY,380,0.5382436260623229
2024,706,CC BY-SA,0,0
2024,706,CC BY-NC,0,0
2024,706,CC BY-NC-SA,0,0
2024,706,CC BY-ND,0,0
2024,706,CC BY-NC-ND,8,0.0113314447592068
