country_name_fct,cr_year,articles,cc_total,prop
United States,'17,2793,22,0.007876834944504118
United States,'18,3173,43,0.013551843681058934
United States,'19,3336,32,0.009592326139088728
United States,'20,3380,72,0.021301775147928994
United States,'21,3452,159,0.04606025492468135
United States,'22,3588,525,0.14632107023411373
United States,'23,1953,385,0.1971326164874552
United Kingdom,'17,719,6,0.008344923504867872
United Kingdom,'18,843,13,0.01542111506524318
United Kingdom,'19,909,12,0.013201320132013201
United Kingdom,'20,922,16,0.01735357917570499
United Kingdom,'21,963,88,0.09138110072689512
United Kingdom,'22,934,222,0.23768736616702354
United Kingdom,'23,495,132,0.26666666666666666
China,'17,289,5,0.01730103806228374
China,'18,439,7,0.015945330296127564
China,'19,532,10,0.018796992481203006
China,'20,633,12,0.018957345971563982
China,'21,769,41,0.053315994798439535
China,'22,1004,121,0.1205179282868526
China,'23,591,97,0.16412859560067683
Germany,'17,423,4,0.009456264775413711
Germany,'18,503,7,0.013916500994035786
Germany,'19,541,4,0.0073937153419593345
Germany,'20,517,11,0.02127659574468085
Germany,'21,590,154,0.26101694915254237
Germany,'22,658,284,0.4316109422492401
Germany,'23,381,200,0.5249343832020997
France,'17,178,2,0.011235955056179775
France,'18,275,6,0.02181818181818182
France,'19,296,1,0.0033783783783783786
France,'20,250,1,0.004
France,'21,273,7,0.02564102564102564
France,'22,334,41,0.12275449101796407
France,'23,184,28,0.15217391304347827
Australia,'17,204,5,0.024509803921568627
Australia,'18,261,5,0.019157088122605363
Australia,'19,265,2,0.007547169811320755
Australia,'20,298,0,0
Australia,'21,285,9,0.031578947368421054
Australia,'22,266,32,0.12030075187969924
Australia,'23,155,27,0.17419354838709677
Switzerland,'17,191,3,0.015706806282722512
Switzerland,'18,240,2,0.008333333333333333
Switzerland,'19,256,0,0
Switzerland,'20,250,5,0.02
Switzerland,'21,290,18,0.06206896551724138
Switzerland,'22,294,69,0.23469387755102042
Switzerland,'23,138,83,0.6014492753623188
Canada,'17,214,1,0.004672897196261682
Canada,'18,181,0,0
Canada,'19,215,2,0.009302325581395349
Canada,'20,231,6,0.025974025974025976
Canada,'21,207,8,0.03864734299516908
Canada,'22,223,29,0.13004484304932734
Canada,'23,123,21,0.17073170731707318
Netherlands,'17,128,0,0
Netherlands,'18,161,1,0.006211180124223602
Netherlands,'19,177,1,0.005649717514124294
Netherlands,'20,166,1,0.006024096385542169
Netherlands,'21,192,14,0.07291666666666667
Netherlands,'22,219,56,0.2557077625570776
Netherlands,'23,103,38,0.36893203883495146
Japan,'17,160,3,0.01875
Japan,'18,160,3,0.01875
Japan,'19,189,2,0.010582010582010581
Japan,'20,162,1,0.006172839506172839
Japan,'21,158,15,0.0949367088607595
Japan,'22,184,43,0.23369565217391305
Japan,'23,95,30,0.3157894736842105
Spain,'17,101,1,0.009900990099009901
Spain,'18,92,2,0.021739130434782608
Spain,'19,113,0,0
Spain,'20,113,0,0
Spain,'21,113,6,0.05309734513274336
Spain,'22,138,26,0.18840579710144928
Spain,'23,74,24,0.32432432432432434
Italy,'17,98,0,0
Italy,'18,86,0,0
Italy,'19,89,1,0.011235955056179775
Italy,'20,109,1,0.009174311926605505
Italy,'21,120,13,0.10833333333333334
Italy,'22,121,18,0.1487603305785124
Italy,'23,88,24,0.2727272727272727
Sweden,'17,72,0,0
Sweden,'18,100,0,0
Sweden,'19,110,2,0.01818181818181818
Sweden,'20,95,2,0.021052631578947368
Sweden,'21,100,4,0.04
Sweden,'22,102,54,0.5294117647058824
Sweden,'23,71,37,0.5211267605633803
South Korea,'17,47,0,0
South Korea,'18,80,0,0
South Korea,'19,72,1,0.013888888888888888
South Korea,'20,90,0,0
South Korea,'21,113,6,0.05309734513274336
South Korea,'22,118,14,0.11864406779661017
South Korea,'23,64,8,0.125
Israel,'17,69,0,0
Israel,'18,64,0,0
Israel,'19,70,0,0
Israel,'20,100,1,0.01
Israel,'21,80,3,0.0375
Israel,'22,94,9,0.09574468085106383
Israel,'23,52,6,0.11538461538461539
Denmark,'17,57,1,0.017543859649122806
Denmark,'18,77,2,0.025974025974025976
Denmark,'19,60,2,0.03333333333333333
Denmark,'20,65,2,0.03076923076923077
Denmark,'21,78,9,0.11538461538461539
Denmark,'22,81,20,0.24691358024691357
Denmark,'23,61,18,0.29508196721311475
Belgium,'17,45,0,0
Belgium,'18,59,0,0
Belgium,'19,83,0,0
Belgium,'20,76,1,0.013157894736842105
Belgium,'21,93,5,0.053763440860215055
Belgium,'22,74,9,0.12162162162162163
Belgium,'23,45,8,0.17777777777777778
Austria,'17,60,0,0
Austria,'18,75,1,0.013333333333333334
Austria,'19,68,0,0
Austria,'20,84,3,0.03571428571428571
Austria,'21,83,5,0.060240963855421686
Austria,'22,62,20,0.3225806451612903
Austria,'23,36,12,0.3333333333333333
Singapore,'17,39,1,0.02564102564102564
Singapore,'18,52,0,0
Singapore,'19,53,0,0
Singapore,'20,72,0,0
Singapore,'21,70,0,0
Singapore,'22,91,13,0.14285714285714285
Singapore,'23,48,8,0.16666666666666666
South Africa,'17,14,0,0
South Africa,'18,58,0,0
South Africa,'19,55,0,0
South Africa,'20,22,0,0
South Africa,'21,44,2,0.045454545454545456
South Africa,'22,32,7,0.21875
South Africa,'23,15,4,0.26666666666666666
Other,'17,281,5,0.017793594306049824
Other,'18,315,2,0.006349206349206349
Other,'19,372,6,0.016129032258064516
Other,'20,391,18,0.04603580562659847
Other,'21,430,26,0.06046511627906977
Other,'22,477,94,0.1970649895178197
Other,'23,288,63,0.21875
