cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,428,Crossref,5,0.011682242990654205
2017,Germany,428,Unpaywall,6,0.014018691588785047
2018,Germany,522,Crossref,8,0.01532567049808429
2018,Germany,522,Unpaywall,11,0.0210727969348659
2019,Germany,564,Crossref,4,0.0070921985815602835
2019,Germany,564,Unpaywall,5,0.008865248226950355
2020,Germany,522,Crossref,9,0.017241379310344827
2020,Germany,522,Unpaywall,20,0.038314176245210725
2021,Germany,589,Crossref,149,0.2529711375212224
2021,Germany,589,Unpaywall,162,0.27504244482173174
2022,Germany,626,Crossref,270,0.43130990415335463
2022,Germany,626,Unpaywall,272,0.43450479233226835
2023,Germany,696,Crossref,351,0.5043103448275862
2023,Germany,696,Unpaywall,352,0.5057471264367817
2024,Germany,706,Crossref,388,0.5495750708215298
2024,Germany,706,Unpaywall,403,0.5708215297450425
