esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023
Nature (MPDL),Germany,TDM Support,1,1,1,1,1,1,1
Nature (MPDL),Germany,ORCID,0.5,0.5,1,1,1,0.9964285714285714,0.997134670487106
Nature (MPDL),Germany,Funder info,0,0,0.5,0.5,0.37735849056603776,0.3535714285714286,0.36962750716332377
Nature (MPDL),Germany,Open Abstracts,0,0.625,0.75,1,0.9685534591194969,0.9357142857142857,0.9398280802292264
Nature (MPDL),Germany,Open Citations,1,1,1,0.9166666666666666,0.949685534591195,0.9357142857142857,0.9426934097421203
Nature (MPDL),Global,TDM Support,1,1,1,1,1,1,1
Nature (MPDL),Global,ORCID,0.4838709677419355,0.7127659574468085,0.7831325301204819,0.8451612903225807,0.9963702359346642,0.9937185929648241,0.9952749140893471
Nature (MPDL),Global,Funder info,0,0,0.14457831325301204,0.23870967741935484,0.33756805807622503,0.3768844221105528,0.3634020618556701
Nature (MPDL),Global,Open Abstracts,0.5,0.43617021276595747,0.6024096385542169,0.9548387096774194,0.9546279491833031,0.9189698492462312,0.9128006872852233
Nature (MPDL),Global,Open Citations,1,0.9893617021276596,0.8674698795180723,0.832258064516129,0.9274047186932849,0.9227386934673367,0.9213917525773195
