country_name_fct,cr_year,articles,cc_total,prop
United Kingdom,'17,180,94,0.5222222222222223
United Kingdom,'18,156,88,0.5641025641025641
United Kingdom,'19,150,65,0.43333333333333335
United Kingdom,'20,158,115,0.7278481012658228
United Kingdom,'21,169,137,0.8106508875739645
United Kingdom,'22,126,103,0.8174603174603174
United Kingdom,'23,62,59,0.9516129032258065
United States,'17,150,14,0.09333333333333334
United States,'18,156,16,0.10256410256410256
United States,'19,108,15,0.1388888888888889
United States,'20,169,80,0.47337278106508873
United States,'21,196,87,0.44387755102040816
United States,'22,131,70,0.5343511450381679
United States,'23,90,46,0.5111111111111111
China,'17,62,12,0.1935483870967742
China,'18,59,7,0.11864406779661017
China,'19,102,18,0.17647058823529413
China,'20,128,93,0.7265625
China,'21,61,48,0.7868852459016393
China,'22,46,25,0.5434782608695652
China,'23,29,22,0.7586206896551724
Australia,'17,41,5,0.12195121951219512
Australia,'18,46,3,0.06521739130434782
Australia,'19,53,8,0.1509433962264151
Australia,'20,47,40,0.851063829787234
Australia,'21,56,45,0.8035714285714286
Australia,'22,51,47,0.9215686274509803
Australia,'23,21,19,0.9047619047619048
Germany,'17,32,4,0.125
Germany,'18,35,8,0.22857142857142856
Germany,'19,48,10,0.20833333333333334
Germany,'20,34,18,0.5294117647058824
Germany,'21,48,31,0.6458333333333334
Germany,'22,24,19,0.7916666666666666
Germany,'23,11,4,0.36363636363636365
India,'17,22,1,0.045454545454545456
India,'18,26,2,0.07692307692307693
India,'19,25,1,0.04
India,'20,42,28,0.6666666666666666
India,'21,29,16,0.5517241379310345
India,'22,9,4,0.4444444444444444
India,'23,10,8,0.8
Canada,'17,26,0,0
Canada,'18,26,4,0.15384615384615385
Canada,'19,20,1,0.05
Canada,'20,31,12,0.3870967741935484
Canada,'21,23,12,0.5217391304347826
Canada,'22,24,8,0.3333333333333333
Canada,'23,10,5,0.5
France,'17,26,2,0.07692307692307693
France,'18,25,2,0.08
France,'19,16,3,0.1875
France,'20,30,14,0.4666666666666667
France,'21,23,6,0.2608695652173913
France,'22,9,4,0.4444444444444444
France,'23,17,6,0.35294117647058826
Japan,'17,18,3,0.16666666666666666
Japan,'18,25,5,0.2
Japan,'19,22,2,0.09090909090909091
Japan,'20,19,14,0.7368421052631579
Japan,'21,24,18,0.75
Japan,'22,20,12,0.6
Japan,'23,13,6,0.46153846153846156
Italy,'17,25,3,0.12
Italy,'18,28,3,0.10714285714285714
Italy,'19,12,1,0.08333333333333333
Italy,'20,21,9,0.42857142857142855
Italy,'21,25,9,0.36
Italy,'22,11,6,0.5454545454545454
Italy,'23,3,1,0.3333333333333333
Brazil,'17,14,1,0.07142857142857142
Brazil,'18,11,0,0
Brazil,'19,9,1,0.1111111111111111
Brazil,'20,22,16,0.7272727272727273
Brazil,'21,18,12,0.6666666666666666
Brazil,'22,11,4,0.36363636363636365
Brazil,'23,7,3,0.42857142857142855
Spain,'17,16,2,0.125
Spain,'18,15,1,0.06666666666666667
Spain,'19,13,3,0.23076923076923078
Spain,'20,11,6,0.5454545454545454
Spain,'21,18,13,0.7222222222222222
Spain,'22,7,4,0.5714285714285714
Spain,'23,11,7,0.6363636363636364
Netherlands,'17,12,0,0
Netherlands,'18,10,1,0.1
Netherlands,'19,18,3,0.16666666666666666
Netherlands,'20,17,12,0.7058823529411765
Netherlands,'21,20,14,0.7
Netherlands,'22,9,9,1
Netherlands,'23,1,1,1
Denmark,'17,3,0,0
Denmark,'18,9,1,0.1111111111111111
Denmark,'19,12,2,0.16666666666666666
Denmark,'20,15,8,0.5333333333333333
Denmark,'21,11,5,0.45454545454545453
Denmark,'22,12,7,0.5833333333333334
Denmark,'23,7,2,0.2857142857142857
Sweden,'17,6,1,0.16666666666666666
Sweden,'18,9,4,0.4444444444444444
Sweden,'19,12,7,0.5833333333333334
Sweden,'20,8,7,0.875
Sweden,'21,7,6,0.8571428571428571
Sweden,'22,7,5,0.7142857142857143
Sweden,'23,5,4,0.8
New Zealand,'17,2,0,0
New Zealand,'18,4,1,0.25
New Zealand,'19,11,2,0.18181818181818182
New Zealand,'20,7,5,0.7142857142857143
New Zealand,'21,10,7,0.7
New Zealand,'22,8,4,0.5
New Zealand,'23,3,3,1
Belgium,'17,9,1,0.1111111111111111
Belgium,'18,7,0,0
Belgium,'19,8,2,0.25
Belgium,'20,5,3,0.6
Belgium,'21,7,4,0.5714285714285714
Belgium,'22,4,1,0.25
Belgium,'23,2,1,0.5
South Korea,'17,4,0,0
South Korea,'18,6,0,0
South Korea,'19,4,0,0
South Korea,'20,7,3,0.42857142857142855
South Korea,'21,14,6,0.42857142857142855
South Korea,'22,6,5,0.8333333333333334
South Korea,'23,1,1,1
Argentina,'17,7,0,0
Argentina,'18,3,0,0
Argentina,'19,7,0,0
Argentina,'20,4,2,0.5
Argentina,'21,10,3,0.3
Argentina,'22,7,3,0.42857142857142855
Argentina,'23,3,0,0
Switzerland,'17,4,0,0
Switzerland,'18,5,3,0.6
Switzerland,'19,5,1,0.2
Switzerland,'20,8,2,0.25
Switzerland,'21,4,2,0.5
Switzerland,'22,6,4,0.6666666666666666
Switzerland,'23,6,5,0.8333333333333334
Other,'17,67,5,0.07462686567164178
Other,'18,68,8,0.11764705882352941
Other,'19,64,12,0.1875
Other,'20,75,36,0.48
Other,'21,68,39,0.5735294117647058
Other,'22,48,24,0.5
Other,'23,42,29,0.6904761904761905
