cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,31,Crossref,4,0.12903225806451613
2017,Germany,31,Unpaywall,4,0.12903225806451613
2018,Germany,36,Crossref,8,0.2222222222222222
2018,Germany,36,Unpaywall,8,0.2222222222222222
2019,Germany,48,Crossref,10,0.20833333333333334
2019,Germany,48,Unpaywall,10,0.20833333333333334
2020,Germany,34,Crossref,18,0.5294117647058824
2020,Germany,34,Unpaywall,18,0.5294117647058824
2021,Germany,48,Crossref,31,0.6458333333333334
2021,Germany,48,Unpaywall,31,0.6458333333333334
2022,Germany,24,Crossref,19,0.7916666666666666
2022,Germany,24,Unpaywall,19,0.7916666666666666
2023,Germany,7,Crossref,2,0.2857142857142857
2023,Germany,7,Unpaywall,1,0.14285714285714285
