cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,734,Crossref,154,0.2098092643051771
2017,Global,734,Unpaywall,153,0.20844686648501362
2018,Global,724,Crossref,153,0.21132596685082872
2018,Global,724,Unpaywall,153,0.21132596685082872
2019,Global,719,Crossref,158,0.21974965229485396
2019,Global,719,Unpaywall,157,0.21835883171070933
2020,Global,862,Crossref,516,0.5986078886310905
2020,Global,862,Unpaywall,515,0.5974477958236659
2021,Global,832,Crossref,508,0.6105769230769231
2021,Global,832,Unpaywall,504,0.6057692307692307
2022,Global,564,Crossref,357,0.6329787234042553
2022,Global,564,Unpaywall,356,0.6312056737588653
2023,Global,349,Crossref,226,0.6475644699140402
2023,Global,349,Unpaywall,196,0.5616045845272206
