cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2017,BMJ (BSB),de,CC BY,0,0,0
2017,CUP (BSB),de,CC BY,17,378,0.04497354497354497
2017,De Gruyter (SUB Göttingen),de,CC BY,0,0,0
2017,ECS (TIB),de,CC BY,0,0,0
2017,IOP (TIB),de,CC BY,102,971,0.10504634397528322
2017,Karger (BSB),de,CC BY,0,0,0
2017,Nature (MPDL),de,CC BY,5,439,0.011389521640091117
2017,Portland Press (TIB),de,CC BY,3,31,0.0967741935483871
2017,RSC (TIB),de,CC BY,109,1369,0.07962016070124178
2017,TaylorFrancis (ZBW),de,CC BY,13,541,0.024029574861367836
2018,BMJ (BSB),de,CC BY,0,0,0
2018,CUP (BSB),de,CC BY,19,406,0.046798029556650245
2018,De Gruyter (SUB Göttingen),de,CC BY,0,0,0
2018,ECS (TIB),de,CC BY,42,107,0.3925233644859813
2018,IOP (TIB),de,CC BY,157,830,0.1891566265060241
2018,Karger (BSB),de,CC BY,0,0,0
2018,Nature (MPDL),de,CC BY,8,514,0.01556420233463035
2018,Portland Press (TIB),de,CC BY,4,36,0.1111111111111111
2018,RSC (TIB),de,CC BY,177,1287,0.13752913752913754
2018,TaylorFrancis (ZBW),de,CC BY,37,530,0.06981132075471698
2019,BMJ (BSB),de,CC BY,0,0,0
2019,CUP (BSB),de,CC BY,142,387,0.3669250645994832
2019,De Gruyter (SUB Göttingen),de,CC BY,3,150,0.02
2019,ECS (TIB),de,CC BY,55,85,0.6470588235294118
2019,IOP (TIB),de,CC BY,243,694,0.35014409221902015
2019,Karger (BSB),de,CC BY,1,371,0.0026954177897574125
2019,Nature (MPDL),de,CC BY,4,526,0.0076045627376425855
2019,Portland Press (TIB),de,CC BY,2,48,0.041666666666666664
2019,RSC (TIB),de,CC BY,203,1272,0.15959119496855345
2019,TaylorFrancis (ZBW),de,CC BY,52,559,0.09302325581395349
2020,BMJ (BSB),de,CC BY,2,147,0.013605442176870748
2020,CUP (BSB),de,CC BY,171,447,0.3825503355704698
2020,De Gruyter (SUB Göttingen),de,CC BY,10,314,0.03184713375796178
2020,ECS (TIB),de,CC BY,53,100,0.53
2020,IOP (TIB),de,CC BY,328,707,0.4639321074964639
2020,Karger (BSB),de,CC BY,5,438,0.01141552511415525
2020,Nature (MPDL),de,CC BY,11,521,0.02111324376199616
2020,Portland Press (TIB),de,CC BY,12,34,0.35294117647058826
2020,RSC (TIB),de,CC BY,259,1232,0.21022727272727273
2020,TaylorFrancis (ZBW),de,CC BY,50,582,0.0859106529209622
2021,BMJ (BSB),de,CC BY,7,160,0.04375
2021,CUP (BSB),de,CC BY,163,363,0.4490358126721763
2021,De Gruyter (SUB Göttingen),de,CC BY,19,355,0.05352112676056338
2021,ECS (TIB),de,CC BY,46,71,0.647887323943662
2021,IOP (TIB),de,CC BY,350,581,0.6024096385542169
2021,Karger (BSB),de,CC BY,23,346,0.06647398843930635
2021,Nature (MPDL),de,CC BY,149,564,0.2641843971631206
2021,Portland Press (TIB),de,CC BY,24,48,0.5
2021,RSC (TIB),de,CC BY,249,1161,0.2144702842377261
2021,TaylorFrancis (ZBW),de,CC BY,55,559,0.09838998211091235
2022,BMJ (BSB),de,CC BY,6,160,0.0375
2022,CUP (BSB),de,CC BY,345,629,0.548489666136725
2022,De Gruyter (SUB Göttingen),de,CC BY,155,336,0.46130952380952384
2022,ECS (TIB),de,CC BY,36,47,0.7659574468085106
2022,IOP (TIB),de,CC BY,261,337,0.7744807121661721
2022,Karger (BSB),de,CC BY,19,98,0.19387755102040816
2022,Nature (MPDL),de,CC BY,254,606,0.41914191419141916
2022,Portland Press (TIB),de,CC BY,15,24,0.625
2022,RSC (TIB),de,CC BY,221,604,0.3658940397350993
2022,TaylorFrancis (ZBW),de,CC BY,78,518,0.15057915057915058
2023,BMJ (BSB),de,CC BY,2,40,0.05
2023,CUP (BSB),de,CC BY,94,199,0.4723618090452261
2023,De Gruyter (SUB Göttingen),de,CC BY,12,37,0.32432432432432434
2023,ECS (TIB),de,CC BY,13,25,0.52
2023,IOP (TIB),de,CC BY,112,170,0.6588235294117647
2023,Karger (BSB),de,CC BY,6,26,0.23076923076923078
2023,Nature (MPDL),de,CC BY,119,214,0.5560747663551402
2023,Portland Press (TIB),de,CC BY,2,7,0.2857142857142857
2023,RSC (TIB),de,CC BY,66,171,0.38596491228070173
2023,TaylorFrancis (ZBW),de,CC BY,19,149,0.12751677852348994
2017,BMJ (BSB),de,CC BY-SA,0,0,0
2017,CUP (BSB),de,CC BY-SA,0,0,0
2017,De Gruyter (SUB Göttingen),de,CC BY-SA,0,0,0
2017,ECS (TIB),de,CC BY-SA,0,0,0
2017,IOP (TIB),de,CC BY-SA,0,0,0
2017,Karger (BSB),de,CC BY-SA,0,0,0
2017,Nature (MPDL),de,CC BY-SA,0,0,0
2017,Portland Press (TIB),de,CC BY-SA,0,0,0
2017,RSC (TIB),de,CC BY-SA,0,0,0
2017,TaylorFrancis (ZBW),de,CC BY-SA,0,0,0
2018,BMJ (BSB),de,CC BY-SA,0,0,0
2018,CUP (BSB),de,CC BY-SA,0,0,0
2018,De Gruyter (SUB Göttingen),de,CC BY-SA,0,0,0
2018,ECS (TIB),de,CC BY-SA,0,0,0
2018,IOP (TIB),de,CC BY-SA,0,0,0
2018,Karger (BSB),de,CC BY-SA,0,0,0
2018,Nature (MPDL),de,CC BY-SA,0,0,0
2018,Portland Press (TIB),de,CC BY-SA,0,0,0
2018,RSC (TIB),de,CC BY-SA,0,0,0
2018,TaylorFrancis (ZBW),de,CC BY-SA,0,0,0
2019,BMJ (BSB),de,CC BY-SA,0,0,0
2019,CUP (BSB),de,CC BY-SA,0,0,0
2019,De Gruyter (SUB Göttingen),de,CC BY-SA,0,0,0
2019,ECS (TIB),de,CC BY-SA,0,0,0
2019,IOP (TIB),de,CC BY-SA,0,0,0
2019,Karger (BSB),de,CC BY-SA,0,0,0
2019,Nature (MPDL),de,CC BY-SA,0,0,0
2019,Portland Press (TIB),de,CC BY-SA,0,0,0
2019,RSC (TIB),de,CC BY-SA,0,0,0
2019,TaylorFrancis (ZBW),de,CC BY-SA,0,0,0
2020,BMJ (BSB),de,CC BY-SA,0,0,0
2020,CUP (BSB),de,CC BY-SA,0,0,0
