cr_year,esac_publisher,collection,articles,oa_articles,oa_prop
2017,ACM (hebis),de,131,0,0
2017,AIP (TIB),de,1128,1,8.865248226950354e-4
2017,BMJ (BSB),de,357,8,0.022408963585434174
2017,CUP (BSB),de,637,24,0.03767660910518053
2017,De Gruyter (SUB Göttingen),de,224,8,0.03571428571428571
2017,De Gruyter (ZBW),de,134,6,0.04477611940298507
2017,ECS (TIB),de,89,0,0
2017,Elsevier (DEAL),de,16319,888,0.05441509896439733
2017,Hogrefe (SUB Göttingen),de,288,7,0.024305555555555556
2017,IOP (TIB),de,1145,114,0.09956331877729258
2017,Karger (BSB),de,457,14,0.030634573304157548
2017,Nature (MPDL),de,428,5,0.011682242990654205
2017,Portland Press (TIB),de,32,4,0.125
2017,RSC (TIB),de,1435,123,0.08571428571428572
2017,Sage (BSB),de,1390,4,0.0028776978417266188
2017,SPIE (TIB),de,42,0,0
2017,Springer Hybrid (DEAL),de,13351,985,0.07377724515017602
2017,TaylorFrancis (ZBW),de,553,40,0.07233273056057866
2017,Thieme (ZB MED),de,83,1,0.012048192771084338
2017,Wiley Hybrid (DEAL),de,10596,535,0.050490751226878065
2018,ACM (hebis),de,146,0,0
2018,AIP (TIB),de,996,0,0
2018,BMJ (BSB),de,340,6,0.01764705882352941
2018,CUP (BSB),de,733,37,0.0504774897680764
2018,De Gruyter (SUB Göttingen),de,245,1,0.004081632653061225
2018,De Gruyter (ZBW),de,142,9,0.06338028169014084
2018,ECS (TIB),de,130,75,0.5769230769230769
2018,Elsevier (DEAL),de,16307,1062,0.0651254062672472
2018,Hogrefe (SUB Göttingen),de,320,8,0.025
2018,IOP (TIB),de,1020,176,0.17254901960784313
2018,Karger (BSB),de,465,14,0.030107526881720432
2018,Nature (MPDL),de,522,8,0.01532567049808429
2018,Portland Press (TIB),de,35,8,0.22857142857142856
2018,RSC (TIB),de,1339,260,0.1941747572815534
2018,Sage (BSB),de,1381,10,0.00724112961622013
2018,SPIE (TIB),de,44,0,0
2018,Springer Hybrid (DEAL),de,13334,1104,0.08279586020698965
2018,TaylorFrancis (ZBW),de,517,56,0.10831721470019343
2018,Thieme (ZB MED),de,85,3,0.03529411764705882
2018,Wiley Hybrid (DEAL),de,10940,699,0.06389396709323583
2019,ACM (hebis),de,161,0,0
2019,AIP (TIB),de,956,0,0
2019,BMJ (BSB),de,360,17,0.04722222222222222
2019,CUP (BSB),de,609,210,0.3448275862068966
2019,De Gruyter (SUB Göttingen),de,281,11,0.03914590747330961
2019,De Gruyter (ZBW),de,171,29,0.1695906432748538
2019,ECS (TIB),de,114,90,0.7894736842105263
2019,Elsevier (DEAL),de,15744,1245,0.07907774390243902
2019,Hogrefe (SUB Göttingen),de,348,26,0.07471264367816093
2019,IOP (TIB),de,875,299,0.3417142857142857
2019,Karger (BSB),de,435,15,0.034482758620689655
2019,Nature (MPDL),de,564,4,0.0070921985815602835
2019,Portland Press (TIB),de,48,10,0.20833333333333334
2019,RSC (TIB),de,1331,394,0.29601803155522166
2019,Sage (BSB),de,1448,100,0.06906077348066299
2019,SPIE (TIB),de,38,0,0
2019,Springer Hybrid (DEAL),de,13290,1288,0.09691497366440933
2019,TaylorFrancis (ZBW),de,568,92,0.1619718309859155
2019,Thieme (ZB MED),de,84,10,0.11904761904761904
2019,Wiley Hybrid (DEAL),de,10576,3802,0.35949319213313163
2020,ACM (hebis),de,159,0,0
2020,AIP (TIB),de,925,0,0
2020,BMJ (BSB),de,326,43,0.13190184049079753
2020,CUP (BSB),de,738,306,0.4146341463414634
2020,De Gruyter (SUB Göttingen),de,281,11,0.03914590747330961
2020,De Gruyter (ZBW),de,122,12,0.09836065573770492
2020,ECS (TIB),de,124,85,0.6854838709677419
2020,Elsevier (DEAL),de,14871,1594,0.10718848766054738
2020,Hogrefe (SUB Göttingen),de,362,34,0.09392265193370165
2020,IOP (TIB),de,934,409,0.43790149892933616
2020,Karger (BSB),de,526,98,0.18631178707224336
2020,Nature (MPDL),de,527,9,0.017077798861480076
2020,Portland Press (TIB),de,34,18,0.5294117647058824
2020,RSC (TIB),de,1267,449,0.35438042620363064
2020,Sage (BSB),de,1493,370,0.2478231748158071
2020,SPIE (TIB),de,32,0,0
2020,Springer Hybrid (DEAL),de,14693,8645,0.5883754168651739
2020,TaylorFrancis (ZBW),de,587,107,0.18228279386712096
2020,Thieme (ZB MED),de,72,9,0.125
2020,Wiley Hybrid (DEAL),de,11574,8714,0.7528944185242785
2021,ACM (hebis),de,182,0,0
2021,AIP (TIB),de,870,0,0
2021,BMJ (BSB),de,343,86,0.25072886297376096
2021,CUP (BSB),de,768,412,0.5364583333333334
2021,De Gruyter (SUB Göttingen),de,313,20,0.06389776357827476
2021,De Gruyter (ZBW),de,129,17,0.13178294573643412
2021,ECS (TIB),de,103,79,0.7669902912621359
2021,Elsevier (DEAL),de,15215,2473,0.1625369700953007
