cr_year,jn_all,cc,cc_total,prop
2017,1445,CC BY,109,0.0754325259515571
2017,1445,CC BY-SA,0,0
2017,1445,CC BY-NC,14,0.009688581314878892
2017,1445,CC BY-NC-SA,0,0
2017,1445,CC BY-ND,0,0
2017,1445,CC BY-NC-ND,0,0
2018,1350,CC BY,178,0.13185185185185186
2018,1350,CC BY-SA,0,0
2018,1350,CC BY-NC,82,0.06074074074074074
2018,1350,CC BY-NC-SA,0,0
2018,1350,CC BY-ND,0,0
2018,1350,CC BY-NC-ND,0,0
2019,1344,CC BY,208,0.15476190476190477
2019,1344,CC BY-SA,0,0
2019,1344,CC BY-NC,185,0.13764880952380953
2019,1344,CC BY-NC-SA,0,0
2019,1344,CC BY-ND,0,0
2019,1344,CC BY-NC-ND,0,0
2020,1287,CC BY,269,0.20901320901320902
2020,1287,CC BY-SA,0,0
2020,1287,CC BY-NC,184,0.14296814296814297
2020,1287,CC BY-NC-SA,0,0
2020,1287,CC BY-ND,0,0
2020,1287,CC BY-NC-ND,0,0
2021,1222,CC BY,251,0.20540098199672668
2021,1222,CC BY-SA,0,0
2021,1222,CC BY-NC,229,0.18739770867430441
2021,1222,CC BY-NC-SA,0,0
2021,1222,CC BY-ND,0,0
2021,1222,CC BY-NC-ND,0,0
2022,1065,CC BY,364,0.34178403755868547
2022,1065,CC BY-SA,0,0
2022,1065,CC BY-NC,161,0.1511737089201878
2022,1065,CC BY-NC-SA,0,0
2022,1065,CC BY-ND,0,0
2022,1065,CC BY-NC-ND,0,0
2023,916,CC BY,359,0.39192139737991266
2023,916,CC BY-SA,0,0
2023,916,CC BY-NC,112,0.1222707423580786
2023,916,CC BY-NC-SA,0,0
2023,916,CC BY-ND,0,0
2023,916,CC BY-NC-ND,0,0
