esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
RSC (TIB),Germany,TDM Support,0,0,0,0,0,0,0,0,0
RSC (TIB),Germany,ORCID,0.943089430894309,0.9692307692307692,0.9568527918781726,0.95991091314031185,0.9765957446808511,0.9752851711026616,0.9775051124744376,0.9790301441677588,0.9791666666666666
RSC (TIB),Germany,Funder info,0.5528455284552846,0.8076923076923077,0.8197969543147208,0.844097995545657,0.8553191489361702,0.8726235741444867,0.8957055214723927,0.8741808650065531,0.8770833333333333
RSC (TIB),Germany,Open Abstracts,1,1,1,1,1,1,1,1,1
RSC (TIB),Germany,Open Citations,0.967479674796748,0.9653846153846154,0.9517766497461929,0.95991091314031185,0.9765957446808511,0.9752851711026616,0.9815950920245399,0.9790301441677588,0.98125
RSC (TIB),Global,TDM Support,0,0,0,0,0,0,0,0,0
RSC (TIB),Global,ORCID,0.9113149847094801,0.8451739343459088,0.8533173461231015,0.8602941176470589,0.8920056100981767,0.896797153024911,0.9181652859163467,0.9351351351351351,0.905332718610727
RSC (TIB),Global,Funder info,0.6009174311926605,0.7515923566878981,0.7557953637090328,0.7689950980392157,0.8005610098176719,0.8581596339603457,0.8947262073146091,0.8956456456456456,0.8579990779160903
RSC (TIB),Global,Open Abstracts,1,0.9990200881920627,1,1,1,1,1,1,1
RSC (TIB),Global,Open Citations,0.9373088685015291,0.8392944634982852,0.8497202238209433,0.8636642156862745,0.891164095371669,0.8952719877986782,0.9171549808042029,0.9378378378378378,0.9074842477332103
