cr_year,issn_l,collection,articles,oa_articles
2017,0003-2654,de,30,1
2017,0003-2654,global,603,15
2017,0265-0568,de,11,2
2017,0265-0568,global,104,4
2017,0267-9477,de,14,1
2017,0267-9477,global,269,6
2017,0306-0012,de,28,0
2017,0306-0012,global,419,13
2017,1144-0546,de,20,1
2017,1144-0546,global,1853,22
2017,1359-6640,de,23,5
2017,1359-6640,global,347,12
2017,1359-7345,de,159,10
2017,1359-7345,global,3237,75
2017,1463-9076,de,278,32
2017,1463-9076,global,3580,106
2017,1463-9262,de,48,5
2017,1463-9262,global,740,18
2017,1466-8033,de,34,5
2017,1466-8033,global,993,24
2017,1473-0189,de,22,3
2017,1473-0189,global,496,8
2017,1477-0520,de,48,3
2017,1477-0520,global,1388,37
2017,1477-9226,de,166,10
2017,1477-9226,global,2031,52
2017,1744-683X,de,91,7
2017,1744-683X,global,1120,42
2017,1754-5692,de,12,1
2017,1754-5692,global,304,7
2017,1759-9660,de,25,0
2017,1759-9660,global,949,5
2017,1759-9954,de,55,4
2017,1759-9954,global,958,16
2017,2040-3364,de,95,8
2017,2040-3364,global,2355,48
2017,2042-6496,de,3,0
2017,2042-6496,global,491,4
2017,2044-4753,de,22,2
2017,2044-4753,global,700,17
2017,2047-4830,de,13,1
2017,2047-4830,global,273,4
2017,2050-7496,de,81,10
2017,2050-7496,global,2896,49
2017,2050-750X,de,14,1
2017,2050-750X,global,1077,8
2017,2050-7526,de,57,5
2017,2050-7526,global,1646,27
2017,2050-7887,de,6,0
2017,2050-7887,global,180,5
2017,2051-6347,de,6,2
2017,2051-6347,global,137,3
2017,2051-8153,de,6,0
2017,2051-8153,global,251,2
2017,2052-1537,de,12,1
2017,2052-1537,global,325,1
2017,2052-1545,de,8,0
2017,2052-1545,global,278,3
2017,2052-4110,de,17,0
2017,2052-4110,global,416,10
2017,2053-1400,de,3,0
2017,2053-1400,global,123,1
2017,2055-6756,de,5,1
2017,2055-6756,global,64,1
2017,2058-9689,de,2,0
2017,2058-9689,global,78,1
2017,2058-9883,de,15,1
2017,2058-9883,global,118,3
2017,2398-4902,de,8,0
2017,2398-4902,global,254,2
2017,2515-4184,de,0,0
2017,2515-4184,global,0,0
2017,2632-8682,de,0,0
2017,2632-8682,global,0,0
2018,0003-2654,de,31,4
2018,0003-2654,global,761,44
2018,0265-0568,de,6,2
2018,0265-0568,global,105,15
2018,0267-9477,de,24,4
2018,0267-9477,global,257,14
2018,0306-0012,de,20,6
2018,0306-0012,global,429,48
2018,1144-0546,de,20,2
2018,1144-0546,global,2355,41
2018,1359-6640,de,14,7
2018,1359-6640,global,237,47
2018,1359-7345,de,169,25
2018,1359-7345,global,3373,249
2018,1463-9076,de,232,55
2018,1463-9076,global,3313,308
2018,1463-9262,de,34,6
2018,1463-9262,global,678,51
2018,1466-8033,de,31,3
2018,1466-8033,global,1051,44
2018,1473-0189,de,14,4
2018,1473-0189,global,459,42
2018,1477-0520,de,36,2
2018,1477-0520,global,1285,77
2018,1477-9226,de,150,12
2018,1477-9226,global,2102,124
2018,1744-683X,de,103,37
2018,1744-683X,global,1212,117
2018,1754-5692,de,19,9
2018,1754-5692,global,367,57
2018,1759-9660,de,20,3
2018,1759-9660,global,825,23
2018,1759-9954,de,32,7
2018,1759-9954,global,747,39
2018,2040-3364,de,132,24
2018,2040-3364,global,2714,196
2018,2042-6496,de,9,3
2018,2042-6496,global,649,32
2018,2044-4753,de,28,3
2018,2044-4753,global,689,31
2018,2047-4830,de,9,2
2018,2047-4830,global,345,16
2018,2050-7496,de,67,16
2018,2050-7496,global,2791,148
2018,2050-750X,de,18,4
2018,2050-750X,global,940,43
2018,2050-7526,de,45,7
2018,2050-7526,global,1700,69
2018,2050-7887,de,5,0
2018,2050-7887,global,184,22
2018,2051-6347,de,10,4
2018,2051-6347,global,151,21
2018,2051-8153,de,7,2
2018,2051-8153,global,287,22
2018,2052-1537,de,5,0
2018,2052-1537,global,307,7
2018,2052-1545,de,3,0
2018,2052-1545,global,398,7
2018,2052-4110,de,5,0
2018,2052-4110,global,586,8
2018,2053-1400,de,2,0
2018,2053-1400,global,231,21
2018,2055-6756,de,3,3
2018,2055-6756,global,70,6
2018,2058-9689,de,4,0
2018,2058-9689,global,105,9
2018,2058-9883,de,8,2
2018,2058-9883,global,119,21
2018,2398-4902,de,20,1
2018,2398-4902,global,326,16
2018,2515-4184,de,3,1
2018,2515-4184,global,54,6
2018,2632-8682,de,0,0
2018,2632-8682,global,0,0
2019,0003-2654,de,25,5
2019,0003-2654,global,912,45
2019,0265-0568,de,9,0
2019,0265-0568,global,115,16
2019,0267-9477,de,16,8
2019,0267-9477,global,288,29
2019,0306-0012,de,11,3
2019,0306-0012,global,287,26
2019,1144-0546,de,27,2
2019,1144-0546,global,2267,40
2019,1359-6640,de,25,8
2019,1359-6640,global,272,43
2019,1359-7345,de,158,41
2019,1359-7345,global,3739,282
2019,1463-9076,de,234,80
2019,1463-9076,global,2900,314
2019,1463-9262,de,29,12
2019,1463-9262,global,766,72
2019,1466-8033,de,19,2
2019,1466-8033,global,997,53
2019,1473-0189,de,16,7
2019,1473-0189,global,499,70
2019,1477-0520,de,43,10
2019,1477-0520,global,1340,84
2019,1477-9226,de,155,35
2019,1477-9226,global,2155,146
2019,1744-683X,de,85,31
2019,1744-683X,global,1200,135
2019,1754-5692,de,26,8
2019,1754-5692,global,342,59
2019,1759-9660,de,18,3
2019,1759-9660,global,876,30
2019,1759-9954,de,47,20
2019,1759-9954,global,835,67
2019,2040-3364,de,105,36
2019,2040-3364,global,2626,250
2019,2042-6496,de,4,1
2019,2042-6496,global,779,55
2019,2044-4753,de,34,4
2019,2044-4753,global,744,61
2019,2047-4830,de,8,1
2019,2047-4830,global,509,32
2019,2050-7496,de,57,22
2019,2050-7496,global,2975,187
2019,2050-750X,de,21,8
2019,2050-750X,global,881,41
2019,2050-7526,de,48,12
2019,2050-7526,global,1867,90
2019,2050-7887,de,8,4
