cr_year,jn_all,cc,cc_total,prop
2017,1384,CC BY,1,7.22543352601156e-4
2017,1384,CC BY-SA,0,0
2017,1384,CC BY-NC,1,7.22543352601156e-4
2017,1384,CC BY-NC-SA,0,0
2017,1384,CC BY-ND,0,0
2017,1384,CC BY-NC-ND,1,7.22543352601156e-4
2018,1377,CC BY,2,0.0014524328249818446
2018,1377,CC BY-SA,0,0
2018,1377,CC BY-NC,7,0.005083514887436456
2018,1377,CC BY-NC-SA,0,0
2018,1377,CC BY-ND,0,0
2018,1377,CC BY-NC-ND,1,7.262164124909223e-4
2019,1439,CC BY,27,0.018763029881862403
2019,1439,CC BY-SA,0,0
2019,1439,CC BY-NC,72,0.05003474635163308
2019,1439,CC BY-NC-SA,0,0
2019,1439,CC BY-ND,0,0
2019,1439,CC BY-NC-ND,0,0
2020,1483,CC BY,179,0.12070128118678354
2020,1483,CC BY-SA,0,0
2020,1483,CC BY-NC,188,0.126770060687795
2020,1483,CC BY-NC-SA,0,0
2020,1483,CC BY-ND,0,0
2020,1483,CC BY-NC-ND,1,6.743088334457181e-4
2021,1480,CC BY,379,0.2560810810810811
2021,1480,CC BY-SA,0,0
2021,1480,CC BY-NC,332,0.22432432432432434
2021,1480,CC BY-NC-SA,0,0
2021,1480,CC BY-ND,0,0
2021,1480,CC BY-NC-ND,8,0.005405405405405406
2022,1514,CC BY,441,0.2912813738441215
2022,1514,CC BY-SA,0,0
2022,1514,CC BY-NC,352,0.23249669749009247
2022,1514,CC BY-NC-SA,0,0
2022,1514,CC BY-ND,0,0
2022,1514,CC BY-NC-ND,1,6.605019815059445e-4
2023,1448,CC BY,430,0.2969613259668508
2023,1448,CC BY-SA,0,0
2023,1448,CC BY-NC,381,0.26312154696132595
2023,1448,CC BY-NC-SA,0,0
2023,1448,CC BY-ND,0,0
2023,1448,CC BY-NC-ND,2,0.0013812154696132596
2024,703,CC BY,221,0.31436699857752487
2024,703,CC BY-SA,0,0
2024,703,CC BY-NC,198,0.28165007112375534
2024,703,CC BY-NC-SA,0,0
2024,703,CC BY-ND,0,0
2024,703,CC BY-NC-ND,0,0
