cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1384,Crossref,3,0.002167630057803468
2017,Germany,1384,Unpaywall,38,0.02745664739884393
2018,Germany,1377,Crossref,10,0.007262164124909223
2018,Germany,1377,Unpaywall,36,0.026143790849673203
2019,Germany,1439,Crossref,99,0.06879777623349548
2019,Germany,1439,Unpaywall,233,0.16191799861014594
2020,Germany,1483,Crossref,368,0.24814565070802427
2020,Germany,1483,Unpaywall,356,0.24005394470667565
2021,Germany,1480,Crossref,719,0.4858108108108108
2021,Germany,1480,Unpaywall,615,0.4155405405405405
2022,Germany,1514,Crossref,794,0.52443857331572
2022,Germany,1514,Unpaywall,604,0.3989431968295905
2023,Germany,1448,Crossref,813,0.56146408839779
2023,Germany,1448,Unpaywall,762,0.5262430939226519
2024,Germany,703,Crossref,419,0.5960170697012802
2024,Germany,703,Unpaywall,386,0.5490753911806543
