cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,58800,Crossref,112,0.0019047619047619048
2017,Global,58800,Unpaywall,1378,0.023435374149659863
2018,Global,58692,Crossref,266,0.004532133851291488
2018,Global,58692,Unpaywall,1505,0.02564233626388605
2019,Global,58291,Crossref,857,0.014702098094045393
2019,Global,58291,Unpaywall,1847,0.031685852018321865
2020,Global,65628,Crossref,6400,0.09751935149631255
2020,Global,65628,Unpaywall,5899,0.08988541476199183
2021,Global,64053,Crossref,9674,0.15103117730629323
2021,Global,64053,Unpaywall,7860,0.12271088005245656
2022,Global,63014,Crossref,10740,0.1704383152950138
2022,Global,63014,Unpaywall,7220,0.11457771288919923
2023,Global,44197,Crossref,9393,0.21252573704097563
2023,Global,44197,Unpaywall,3618,0.08186075978007556
