esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023
Sage (BSB),Germany,TDM Support,1,1,1,1,1,1,0.9957203994293866
Sage (BSB),Germany,ORCID,0.3333333333333333,0.36363636363636365,0.7474747474747475,0.8306451612903226,0.8904299583911235,0.9165613147914032,0.9329529243937232
Sage (BSB),Germany,Funder info,0.6666666666666666,0.2727272727272727,0.40404040404040403,0.4166666666666667,0.37586685159500693,0.3944374209860936,0.4507845934379458
Sage (BSB),Germany,Open Abstracts,1,1,0.98989898989899,0.978494623655914,0.9667128987517337,0.9696586599241467,0.9771754636233951
Sage (BSB),Germany,Open Citations,1,1,0.9797979797979798,0.9704301075268817,0.9694868238557559,0.95448798988622,0.9671897289586305
Sage (BSB),Global,TDM Support,1,1,1,1,1,1,0.9979624755921556
Sage (BSB),Global,ORCID,0.08035714285714286,0.5036764705882353,0.7766203703703703,0.8322137166067802,0.8690402476780186,0.9026926648096565,0.9165463961287036
Sage (BSB),Global,Funder info,0.29464285714285715,0.4522058823529412,0.5046296296296297,0.38853304171223246,0.39029927760577915,0.41977715877437327,0.4105611681806605
Sage (BSB),Global,Open Abstracts,0.9107142857142857,0.9816176470588235,0.9652777777777778,0.9431338853304171,0.9533539731682147,0.9560817084493964,0.9636641480601069
Sage (BSB),Global,Open Citations,0.9821428571428571,0.9852941176470589,0.9745370370370371,0.9406342758943915,0.9507739938080495,0.9519034354688951,0.9568724000339588
