cr_year,issn_l,collection,articles,oa_articles
2017,0001-3455,de,0,0
2017,0001-3455,global,25,0
2017,0001-6993,de,2,0
2017,0001-6993,global,38,0
2017,0001-8392,de,0,0
2017,0001-8392,global,53,2
2017,0002-7162,de,0,0
2017,0002-7162,global,95,0
2017,0002-7642,de,5,0
2017,0002-7642,global,120,0
2017,0002-8312,de,2,0
2017,0002-8312,global,78,0
2017,0003-0651,de,0,0
2017,0003-0651,global,103,0
2017,0003-1224,de,3,0
2017,0003-1224,global,51,0
2017,0003-1313,de,0,0
2017,0003-1313,global,66,0
2017,0003-1348,de,2,0
2017,0003-1348,global,430,0
2017,0003-3197,de,4,0
2017,0003-3197,global,145,1
2017,0003-3286,de,0,0
2017,0003-3286,global,175,0
2017,0003-4894,de,2,0
2017,0003-4894,global,121,0
2017,0003-603X,de,2,0
2017,0003-603X,global,36,0
2017,0003-7028,de,0,0
2017,0003-7028,global,207,0
2017,0004-5632,de,2,0
2017,0004-5632,global,105,0
2017,0004-8658,de,0,0
2017,0004-8658,global,32,0
2017,0004-8674,de,4,0
2017,0004-8674,global,238,0
2017,0004-9441,de,0,0
2017,0004-9441,global,22,0
2017,0007-6503,de,5,0
2017,0007-6503,global,47,1
2017,0008-0683,de,0,0
2017,0008-0683,global,14,0
2017,0008-1256,de,2,0
2017,0008-1256,global,35,0
2017,0008-4174,de,0,0
2017,0008-4174,global,32,0
2017,0008-4298,de,3,0
2017,0008-4298,global,67,0
2017,0009-4455,de,0,0
2017,0009-4455,global,62,0
2017,0009-9228,de,1,0
2017,0009-9228,global,265,0
2017,0010-4140,de,2,0
2017,0010-4140,global,58,0
2017,0010-8367,de,0,0
2017,0010-8367,global,27,0
2017,0011-0000,de,0,0
2017,0011-0000,global,63,0
2017,0011-1287,de,0,0
2017,0011-1287,global,66,0
2017,0011-3255,de,0,0
2017,0011-3255,global,12,0
2017,0011-3921,de,6,0
2017,0011-3921,global,44,1
2017,0012-5806,de,0,0
2017,0012-5806,global,23,0
2017,0013-1245,de,0,0
2017,0013-1245,global,70,0
2017,0013-161X,de,0,0
2017,0013-161X,global,26,0
2017,0013-1644,de,1,0
2017,0013-1644,global,45,0
2017,0013-189X,de,0,0
2017,0013-189X,global,58,0
2017,0013-9165,de,5,0
2017,0013-9165,global,55,0
2017,0014-4029,de,0,0
2017,0014-4029,global,28,0
2017,0014-5246,de,1,0
2017,0014-5246,global,308,0
2017,0014-5858,de,1,0
2017,0014-5858,global,85,0
2017,0015-7325,de,0,0
2017,0015-7325,global,10,0
2017,0016-9862,de,4,0
2017,0016-9862,global,33,0
2017,0017-8969,de,0,0
2017,0017-8969,global,80,0
2017,0018-5787,de,0,0
2017,0018-5787,global,164,0
2017,0018-7208,de,1,0
2017,0018-7208,global,82,0
2017,0018-7267,de,1,0
2017,0018-7267,global,75,0
2017,0019-4646,de,4,0
2017,0019-4646,global,35,0
2017,0019-4662,de,0,0
2017,0019-4662,global,15,0
2017,0019-5561,de,0,0
2017,0019-5561,global,57,0
2017,0019-7939,de,4,0
2017,0019-7939,global,63,0
2017,0020-7020,de,2,0
2017,0020-7020,global,64,0
2017,0020-7152,de,2,0
2017,0020-7152,global,38,0
2017,0020-7209,de,0,0
2017,0020-7209,global,14,0
2017,0020-7314,de,0,0
2017,0020-7314,global,32,0
2017,0020-7640,de,1,0
2017,0020-7640,global,115,0
2017,0020-8345,de,0,0
2017,0020-8345,global,110,0
2017,0020-8523,de,2,0
2017,0020-8523,global,39,0
2017,0020-8728,de,1,0
2017,0020-8728,global,127,0
2017,0020-8817,de,0,0
2017,0020-8817,global,15,0
2017,0020-9643,de,0,0
2017,0020-9643,global,59,0
2017,0021-1400,de,0,0
2017,0021-1400,global,60,0
2017,0021-8286,de,2,0
2017,0021-8286,global,53,0
2017,0021-8863,de,0,0
2017,0021-8863,global,23,0
2017,0021-9096,de,0,0
2017,0021-9096,global,40,0
2017,0021-9347,de,0,0
2017,0021-9347,global,41,0
2017,0021-955X,de,1,0
2017,0021-955X,global,24,0
2017,0021-9894,de,1,0
2017,0021-9894,global,66,0
2017,0021-9983,de,16,0
2017,0021-9983,global,292,0
2017,0022-0027,de,1,0
2017,0022-0027,global,63,0
2017,0022-0094,de,1,0
2017,0022-0094,global,101,0
2017,0022-0183,de,1,0
2017,0022-0183,global,58,0
2017,0022-0221,de,8,0
2017,0022-0221,global,96,0
2017,0022-0345,de,9,0
2017,0022-0345,global,204,0
2017,0022-0426,de,0,0
2017,0022-0426,global,37,0
2017,0022-0574,de,1,0
2017,0022-0574,global,28,0
2017,0022-1465,de,0,0
2017,0022-1465,global,40,0
2017,0022-1554,de,6,0
2017,0022-1554,global,54,0
2017,0022-1678,de,0,0
2017,0022-1678,global,73,1
2017,0022-1856,de,1,0
2017,0022-1856,global,44,0
2017,0022-2194,de,1,0
2017,0022-2194,global,43,0
2017,0022-2429,de,4,0
2017,0022-2429,global,49,0
2017,0022-2437,de,2,0
2017,0022-2437,global,65,0
2017,0022-3433,de,1,0
2017,0022-3433,global,71,0
2017,0022-4278,de,0,0
2017,0022-4278,global,22,0
2017,0022-4294,de,0,0
2017,0022-4294,global,33,0
2017,0022-4669,de,0,0
2017,0022-4669,global,17,0
2017,0022-4871,de,0,0
2017,0022-4871,global,58,0
2017,0022-5266,de,3,0
2017,0022-5266,global,44,0
2017,0023-6772,de,6,0
2017,0023-6772,global,60,0
2017,0023-8309,de,4,0
2017,0023-8309,global,43,0
2017,0024-3639,de,0,0
2017,0024-3639,global,53,0
2017,0025-2921,de,0,0
2017,0025-2921,global,19,0
2017,0025-8024,de,0,0
2017,0025-8024,global,39,0
2017,0025-8172,de,0,0
2017,0025-8172,global,50,0
2017,0027-4321,de,0,0
2017,0027-4321,global,55,0
2017,0030-2228,de,0,0
