cr_year,jn_all,cc,cc_total,prop
2017,13586,CC BY,933,0.06867363462387752
2017,13586,CC BY-SA,0,0
2017,13586,CC BY-NC,28,0.0020609450905343736
2017,13586,CC BY-NC-SA,43,0.0031650228176063593
2017,13586,CC BY-ND,0,0
2017,13586,CC BY-NC-ND,20,0.0014721036360959812
2018,13865,CC BY,1109,0.07998557518932564
2018,13865,CC BY-SA,0,0
2018,13865,CC BY-NC,29,0.0020915975477821852
2018,13865,CC BY-NC-SA,9,6.491164803461955e-4
2018,13865,CC BY-ND,0,0
2018,13865,CC BY-NC-ND,4,2.88496213487198e-4
2019,14173,CC BY,1330,0.09384040076201228
2019,14173,CC BY-SA,0,0
2019,14173,CC BY-NC,34,0.002398927538277006
2019,14173,CC BY-NC-SA,0,0
2019,14173,CC BY-ND,0,0
2019,14173,CC BY-NC-ND,1,7.055669230226487e-5
2020,15381,CC BY,8713,0.5664781223587543
2020,15381,CC BY-SA,0,0
2020,15381,CC BY-NC,105,0.00682660425199922
2020,15381,CC BY-NC-SA,1,6.501527859046876e-5
2020,15381,CC BY-ND,0,0
2020,15381,CC BY-NC-ND,0,0
2021,16290,CC BY,10881,0.6679558011049723
2021,16290,CC BY-SA,0,0
2021,16290,CC BY-NC,101,0.00620012277470841
2021,16290,CC BY-NC-SA,1,6.138735420503377e-5
2021,16290,CC BY-ND,0,0
2021,16290,CC BY-NC-ND,1,6.138735420503377e-5
2022,11982,CC BY,9010,0.7519612752462026
2022,11982,CC BY-SA,0,0
2022,11982,CC BY-NC,100,0.008345852111500584
2022,11982,CC BY-NC-SA,0,0
2022,11982,CC BY-ND,0,0
2022,11982,CC BY-NC-ND,0,0
2023,3598,CC BY,2773,0.7707059477487493
2023,3598,CC BY-SA,0,0
2023,3598,CC BY-NC,31,0.008615897720956087
2023,3598,CC BY-NC-SA,0,0
2023,3598,CC BY-ND,0,0
2023,3598,CC BY-NC-ND,0,0
