cr_year,cc,cc_total,jn_all,prop
2017,CC BY,15969,203057,0.07864294262202239
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,575,203057,0.0028317172025588873
2017,CC BY-NC-SA,620,203057,0.003053329853193931
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,650,203057,0.00320107162028396
2018,CC BY,18216,211529,0.08611585172718635
2018,CC BY-SA,2,211529,9.45496834949345e-6
2018,CC BY-NC,703,211529,0.0033234213748469478
2018,CC BY-NC-SA,138,211529,6.523928161150481e-4
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,473,211529,0.002236100014655201
2019,CC BY,20505,221174,0.09270981218407227
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,871,221174,0.003938075904039354
2019,CC BY-NC-SA,12,221174,5.425592519916446e-5
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,126,221174,5.696872145912268e-4
2020,CC BY,32881,243150,0.1352292823360066
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,900,243150,0.003701418877236274
2020,CC BY-NC-SA,3,243150,1.2338062924120913e-5
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,6,243150,2.4676125848241827e-5
2021,CC BY,44285,269129,0.1645493425086111
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,1114,269129,0.004139278933151017
2021,CC BY-NC-SA,3,269129,1.1147070735595197e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,5,269129,1.8578451225991996e-5
2022,CC BY,48785,271509,0.17968096821836477
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,1071,271509,0.003944620620310929
2022,CC BY-NC-SA,3,271509,1.1049357479862546e-5
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,1,271509,3.683119159954182e-6
2023,CC BY,54925,263360,0.20855482989064397
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,1160,263360,0.004404617253948967
2023,CC BY-NC-SA,1,263360,3.7970838396111787e-6
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,95,263360,3.60722964763062e-4
2024,CC BY,31230,121964,0.25605916499950804
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,558,121964,0.004575120527368731
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,146,121964,0.0011970745465875177
