cr_year,country_name,cc_total,articles,prop
2017,United Arab Emirates,5,159,0.031446540880503145
2017,Afghanistan,0,2,0
2017,Antigua & Barbuda,0,1,0
2017,Anguilla,0,1,0
2017,Albania,0,13,0
2017,Armenia,0,21,0
2017,Argentina,12,854,0.01405152224824356
2017,Austria,977,1851,0.5278227984873042
2017,Australia,246,4121,0.05969424896869692
2017,Azerbaijan,0,47,0
2017,Bosnia & Herzegovina,0,22,0
2017,Barbados,1,7,0.14285714285714285
2017,Bangladesh,13,278,0.046762589928057555
2017,Belgium,112,1399,0.08005718370264475
2017,Burkina Faso,2,13,0.15384615384615385
2017,Bulgaria,8,137,0.058394160583941604
2017,Bahrain,0,15,0
2017,Burundi,0,9,0
2017,Benin,5,29,0.1724137931034483
2017,Bermuda,0,2,0
2017,Brunei,3,22,0.13636363636363635
2017,Bolivia,1,14,0.07142857142857142
2017,Brazil,217,4852,0.04472382522671064
2017,Bahamas,0,8,0
2017,Bhutan,2,4,0.5
2017,Botswana,1,23,0.043478260869565216
2017,Belarus,1,39,0.02564102564102564
2017,Belize,0,1,0
2017,Canada,264,4972,0.05309734513274336
2017,Congo - Kinshasa,0,7,0
2017,Congo - Brazzaville,0,2,0
2017,Switzerland,187,1851,0.10102647217720151
2017,Côte d’Ivoire,2,10,0.2
2017,Chile,17,511,0.033268101761252444
2017,Cameroon,7,104,0.0673076923076923
2017,China,868,33957,0.025561739847454135
2017,Colombia,16,325,0.04923076923076923
2017,Costa Rica,4,41,0.0975609756097561
2017,Cuba,2,59,0.03389830508474576
2017,Cyprus,4,105,0.0380952380952381
2017,Czechia,46,938,0.04904051172707889
2017,Germany,1024,13586,0.07537170616811424
2017,Denmark,112,1054,0.1062618595825427
2017,Dominica,0,1,0
2017,Dominican Republic,0,4,0
2017,Algeria,10,644,0.015527950310559006
2017,Ecuador,4,78,0.05128205128205128
2017,Estonia,10,124,0.08064516129032258
2017,Egypt,25,1520,0.01644736842105263
2017,Eritrea,0,1,0
2017,Spain,227,3982,0.05700652938221999
2017,Ethiopia,12,149,0.08053691275167785
2017,Finland,112,921,0.12160694896851248
2017,Fiji,1,10,0.1
2017,Falkland Islands,0,2,0
2017,Faroe Islands,1,1,1
2017,France,264,4702,0.05614632071458953
2017,Gabon,0,2,0
2017,United Kingdom,3692,7000,0.5274285714285715
2017,Grenada,0,11,0
2017,Georgia,0,51,0
2017,French Guiana,0,6,0
2017,Ghana,10,125,0.08
2017,Gibraltar,0,1,0
2017,Greenland,0,1,0
2017,Gambia,0,1,0
2017,Guinea,0,1,0
2017,Guadeloupe,0,7,0
2017,Greece,31,1064,0.02913533834586466
2017,Guatemala,0,16,0
2017,Guinea-Bissau,0,1,0
2017,Guyana,1,2,0.5
2017,Honduras,1,3,0.3333333333333333
2017,Croatia,7,261,0.02681992337164751
2017,Hungary,29,579,0.05008635578583765
2017,Indonesia,13,173,0.07514450867052024
2017,Ireland,43,674,0.06379821958456973
2017,Israel,35,1208,0.028973509933774833
2017,Isle of Man,0,2,0
