country_name_fct,cr_year,articles,cc_total,prop
China,'17,34956,883,0.025260327268566196
China,'18,38784,1161,0.029935024752475246
China,'19,42617,1401,0.03287420512940845
China,'20,46604,1728,0.037078362372328554
China,'21,54213,2548,0.04699979709663734
China,'22,63695,3035,0.04764895203705157
China,'23,35574,1976,0.055546185416315286
United States,'17,31224,1618,0.051819113502434025
United States,'18,31467,1732,0.05504178981154861
United States,'19,31898,1830,0.057370368048153486
United States,'20,33653,2245,0.06671024871482482
United States,'21,34884,3844,0.11019378511638574
United States,'22,33529,4059,0.12105938143100003
United States,'23,17436,2720,0.15599908235833906
India,'17,11962,232,0.019394750041799032
India,'18,13089,168,0.012835205134082053
India,'19,14698,124,0.008436521975779017
India,'20,17940,174,0.009698996655518394
India,'21,22845,365,0.01597723790763843
India,'22,24407,395,0.01618388167329045
India,'23,15109,277,0.01833344364286187
Germany,'17,13558,1030,0.07596990706593892
Germany,'18,13634,1157,0.08486137597183512
Germany,'19,13684,1359,0.099313066354867
Germany,'20,14994,8756,0.5839669201013739
Germany,'21,16379,11241,0.6863056352646681
Germany,'22,13355,10084,0.7550730063646575
Germany,'23,7153,5600,0.7828882986159653
Japan,'17,7448,560,0.07518796992481203
Japan,'18,7737,674,0.08711386842445393
Japan,'19,7875,741,0.09409523809523809
Japan,'20,8562,984,0.11492641906096707
Japan,'21,9203,1410,0.15321090948603716
Japan,'22,8806,1309,0.14864864864864866
Japan,'23,4656,941,0.20210481099656358
Iran,'17,6679,206,0.030842940559964067
Iran,'18,6947,155,0.022311789261551748
Iran,'19,7738,151,0.019514086327216334
Iran,'20,8341,103,0.012348639251888264
Iran,'21,9445,117,0.012387506617257809
Iran,'22,9352,142,0.015183917878528658
Iran,'23,4815,89,0.018483904465212878
United Kingdom,'17,7262,3788,0.5216193885981824
United Kingdom,'18,7211,4012,0.556372209124948
United Kingdom,'19,7680,4321,0.5626302083333333
United Kingdom,'20,8263,4647,0.562386542418008
United Kingdom,'21,8847,5315,0.600768622131796
United Kingdom,'22,8144,5126,0.6294204322200393
United Kingdom,'23,4258,2743,0.6441991545326444
Italy,'17,6673,387,0.057994904840401616
Italy,'18,7060,374,0.05297450424929179
Italy,'19,7295,438,0.06004112405757368
Italy,'20,8867,2100,0.23683320175933237
Italy,'21,8488,3913,0.4610037700282752
Italy,'22,8231,4218,0.5124529218806949
Italy,'23,4462,2447,0.5484087852980726
Brazil,'17,4897,219,0.04472125791300796
Brazil,'18,5401,248,0.04591742269950009
Brazil,'19,5747,227,0.03949886897511745
Brazil,'20,7100,127,0.01788732394366197
Brazil,'21,7822,173,0.022117105599590896
Brazil,'22,6938,173,0.02493513980974344
Brazil,'23,3736,118,0.03158458244111349
Canada,'17,4987,258,0.051734509725285746
Canada,'18,5043,317,0.0628594090818957
Canada,'19,5144,288,0.05598755832037325
Canada,'20,5602,418,0.07461620849696537
Canada,'21,5771,553,0.095823947322821
Canada,'22,5541,679,0.1225410575708356
Canada,'23,2955,444,0.150253807106599
South Korea,'17,5102,185,0.03626029008232066
South Korea,'18,5313,210,0.039525691699604744
South Korea,'19,5322,221,0.04152574220217963
