cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,14161,Crossref,1054,0.0744297719087635
2017,Germany,14161,Unpaywall,961,0.06786243909328438
2018,Germany,14262,Crossref,1184,0.08301780956387604
2018,Germany,14262,Unpaywall,1178,0.08259711120459963
2019,Germany,14441,Crossref,1373,0.09507651824665882
2019,Germany,14441,Unpaywall,1391,0.09632296932345405
2020,Germany,15702,Crossref,8845,0.5633040377022035
2020,Germany,15702,Unpaywall,8804,0.5606929053623743
2021,Germany,17322,Crossref,11524,0.6652811453642766
2021,Germany,17322,Unpaywall,11612,0.6703613901397067
2022,Germany,13518,Crossref,10067,0.7447107560289984
2022,Germany,13518,Unpaywall,10052,0.7436011244266904
2023,Germany,4392,Crossref,3162,0.7199453551912568
2023,Germany,4392,Unpaywall,2475,0.5635245901639344
