cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,203257,Crossref,17823,0.08768701692930625
2017,Global,203257,Unpaywall,16523,0.08129117324372592
2018,Global,211909,Crossref,19583,0.09241230905718964
2018,Global,211909,Unpaywall,19781,0.09334667239239484
2019,Global,221566,Crossref,21545,0.0972396486825596
2019,Global,221566,Unpaywall,21879,0.09874710018685177
2020,Global,243479,Crossref,33841,0.13898939949646583
2020,Global,243479,Unpaywall,34473,0.1415851059023571
2021,Global,269172,Crossref,45395,0.1686468131900792
2021,Global,269172,Unpaywall,46395,0.17236190985689448
2022,Global,271630,Crossref,49866,0.18358060597135809
2022,Global,271630,Unpaywall,50460,0.1857674041895225
2023,Global,155092,Crossref,33472,0.2158202873133366
2023,Global,155092,Unpaywall,24993,0.16114951125783405
