esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Springer Hybrid (DEAL),Germany,TDM Support,1,0.9963963963963964,0.9976816074188563,0.9994229659549914,1,1,0.9996840442338073,0.9965337954939342
Springer Hybrid (DEAL),Germany,ORCID,0.3768996960486322,0.5216216216216216,0.6089644513137558,0.5749567224466243,0.6823062347739781,0.7046579771647974,0.663928383359663,0.648526863084922
Springer Hybrid (DEAL),Germany,Funder info,0.47922998986828774,0.5198198198198198,0.5046367851622875,0.7556837853433352,0.87882342326085,0.9096695968475296,0.9193259610321222,0.905950317735413
Springer Hybrid (DEAL),Germany,Open Abstracts,0.05268490374873354,0.051351351351351354,0.3678516228748068,0.8798615118291979,0.8679058016782459,0.8750126300899262,0.8800421274354924,0.8812247255921433
Springer Hybrid (DEAL),Germany,Open Citations,0.9736575481256332,0.9801801801801802,0.9683153013910355,0.9457587997691864,0.9102228638455292,0.9330100030312216,0.9362822538177988,0.9421143847487001
Springer Hybrid (DEAL),Global,TDM Support,0.9994423377202766,0.9963986812072027,0.9925549132947977,0.9978802331743508,1,1,0.9994861344910073,0.9930223146377883
Springer Hybrid (DEAL),Global,ORCID,0.3742471559223734,0.5360892721278214,0.6710751445086706,0.6805629158570335,0.7755669990139148,0.7822263087409302,0.7367768228935944,0.6901768145470785
Springer Hybrid (DEAL),Global,Funder info,0.5682020968101718,0.5800659396398681,0.625942196531792,0.7136253900959784,0.7178700558781637,0.7321953267105079,0.764277487374856,0.7553204850886864
Springer Hybrid (DEAL),Global,Open Abstracts,0.048516618335935756,0.05665736748668526,0.3495491329479769,0.9185656244479774,0.9146707570943355,0.9100121929281016,0.9165943120404004,0.882105028120072
Springer Hybrid (DEAL),Global,Open Citations,0.9841623912558555,0.9766167892467664,0.973271676300578,0.9685273508802921,0.9557357291552536,0.9570049371364608,0.9602374413041552,0.9614133999469696
