cr_year,jn_all,cc,cc_total,prop
2017,534,CC BY,15,0.028089887640449437
2017,534,CC BY-SA,0,0
2017,534,CC BY-NC,0,0
2017,534,CC BY-NC-SA,0,0
2017,534,CC BY-ND,0,0
2017,534,CC BY-NC-ND,24,0.0449438202247191
2018,508,CC BY,40,0.07874015748031496
2018,508,CC BY-SA,0,0
2018,508,CC BY-NC,0,0
2018,508,CC BY-NC-SA,0,0
2018,508,CC BY-ND,0,0
2018,508,CC BY-NC-ND,17,0.03346456692913386
2019,550,CC BY,51,0.09272727272727273
2019,550,CC BY-SA,0,0
2019,550,CC BY-NC,0,0
2019,550,CC BY-NC-SA,0,0
2019,550,CC BY-ND,0,0
2019,550,CC BY-NC-ND,40,0.07272727272727272
2020,572,CC BY,51,0.08916083916083917
2020,572,CC BY-SA,0,0
2020,572,CC BY-NC,0,0
2020,572,CC BY-NC-SA,0,0
2020,572,CC BY-ND,0,0
2020,572,CC BY-NC-ND,54,0.0944055944055944
2021,565,CC BY,61,0.1079646017699115
2021,565,CC BY-SA,0,0
2021,565,CC BY-NC,0,0
2021,565,CC BY-NC-SA,0,0
2021,565,CC BY-ND,0,0
2021,565,CC BY-NC-ND,112,0.19823008849557522
2022,513,CC BY,79,0.1539961013645224
2022,513,CC BY-SA,0,0
2022,513,CC BY-NC,1,0.001949317738791423
2022,513,CC BY-NC-SA,0,0
2022,513,CC BY-ND,0,0
2022,513,CC BY-NC-ND,82,0.15984405458089668
2023,321,CC BY,48,0.14953271028037382
2023,321,CC BY-SA,0,0
2023,321,CC BY-NC,0,0
2023,321,CC BY-NC-SA,0,0
2023,321,CC BY-ND,0,0
2023,321,CC BY-NC-ND,45,0.14018691588785046
