country_name_fct,cr_year,articles,cc_total,prop
United States,'17,2611,25,0.009574875526618154
United States,'18,2499,19,0.007603041216486595
United States,'19,2530,68,0.026877470355731226
United States,'20,2469,57,0.023086269744835967
United States,'21,2516,129,0.051271860095389504
United States,'22,2232,145,0.06496415770609319
United States,'23,2017,155,0.0768468021814576
United States,'24,832,56,0.0673076923076923
China,'17,693,8,0.011544011544011544
China,'18,919,14,0.015233949945593036
China,'19,1304,8,0.006134969325153374
China,'20,1265,18,0.014229249011857707
China,'21,1537,42,0.027325959661678594
China,'22,1706,59,0.03458382180539273
China,'23,1669,73,0.04373876572798083
China,'24,933,27,0.028938906752411574
United Kingdom,'17,1340,108,0.08059701492537313
United Kingdom,'18,1228,95,0.07736156351791532
United Kingdom,'19,1388,140,0.10086455331412104
United Kingdom,'20,1396,143,0.10243553008595989
United Kingdom,'21,1351,663,0.49074759437453735
United Kingdom,'22,1178,706,0.599320882852292
United Kingdom,'23,1113,736,0.6612758310871518
United Kingdom,'24,415,277,0.6674698795180722
Germany,'17,554,40,0.07220216606498195
Germany,'18,518,58,0.11196911196911197
Germany,'19,569,92,0.1616871704745167
Germany,'20,585,107,0.1829059829059829
Germany,'21,588,174,0.29591836734693877
Germany,'22,524,162,0.30916030534351147
Germany,'23,461,156,0.3383947939262473
Germany,'24,226,109,0.4823008849557522
Australia,'17,550,2,0.0036363636363636364
Australia,'18,454,8,0.01762114537444934
Australia,'19,504,14,0.027777777777777776
Australia,'20,503,16,0.03180914512922465
Australia,'21,516,29,0.0562015503875969
Australia,'22,470,43,0.09148936170212765
Australia,'23,399,226,0.5664160401002506
Australia,'24,170,114,0.6705882352941176
Canada,'17,399,9,0.022556390977443608
Canada,'18,366,2,0.00546448087431694
Canada,'19,393,12,0.030534351145038167
Canada,'20,404,22,0.054455445544554455
Canada,'21,376,33,0.08776595744680851
Canada,'22,369,37,0.1002710027100271
Canada,'23,388,52,0.13402061855670103
Canada,'24,140,13,0.09285714285714286
Italy,'17,337,7,0.020771513353115726
Italy,'18,307,8,0.026058631921824105
Italy,'19,394,15,0.03807106598984772
Italy,'20,386,10,0.025906735751295335
Italy,'21,373,46,0.12332439678284182
Italy,'22,382,62,0.16230366492146597
Italy,'23,404,66,0.16336633663366337
Italy,'24,164,34,0.2073170731707317
Netherlands,'17,372,216,0.5806451612903226
Netherlands,'18,279,60,0.21505376344086022
Netherlands,'19,373,279,0.7479892761394102
Netherlands,'20,334,250,0.7485029940119761
Netherlands,'21,318,256,0.8050314465408805
Netherlands,'22,314,248,0.7898089171974523
Netherlands,'23,323,236,0.7306501547987616
Netherlands,'24,122,93,0.7622950819672131
South Africa,'17,318,5,0.015723270440251572
South Africa,'18,341,3,0.008797653958944282
South Africa,'19,343,9,0.026239067055393587
South Africa,'20,387,19,0.04909560723514212
South Africa,'21,394,34,0.08629441624365482
South Africa,'22,263,31,0.11787072243346007
South Africa,'23,259,33,0.1274131274131274
South Africa,'24,89,36,0.4044943820224719
Spain,'17,331,8,0.02416918429003021
Spain,'18,287,2,0.006968641114982578
Spain,'19,344,18,0.05232558139534884
Spain,'20,329,21,0.06382978723404255
Spain,'21,312,45,0.14423076923076922
Spain,'22,293,35,0.11945392491467577
Spain,'23,307,54,0.1758957654723127
Spain,'24,127,22,0.1732283464566929
India,'17,168,4,0.023809523809523808
India,'18,214,3,0.014018691588785047
India,'19,256,5,0.01953125
India,'20,309,2,0.006472491909385114
India,'21,373,5,0.013404825737265416
India,'22,308,10,0.032467532467532464
India,'23,341,7,0.020527859237536656
India,'24,133,7,0.05263157894736842
France,'17,283,3,0.01060070671378092
France,'18,281,6,0.021352313167259787
France,'19,302,1,0.0033112582781456954
France,'20,298,5,0.016778523489932886
France,'21,301,18,0.059800664451827246
France,'22,266,16,0.06015037593984962
France,'23,261,16,0.06130268199233716
France,'24,94,4,0.0425531914893617
South Korea,'17,218,3,0.013761467889908258
South Korea,'18,237,0,0
South Korea,'19,273,2,0.007326007326007326
South Korea,'20,206,1,0.0048543689320388345
South Korea,'21,286,10,0.03496503496503497
South Korea,'22,239,4,0.016736401673640166
South Korea,'23,208,9,0.04326923076923077
South Korea,'24,136,7,0.051470588235294115
Sweden,'17,205,21,0.1024390243902439
Sweden,'18,212,69,0.32547169811320753
Sweden,'19,210,165,0.7857142857142857
Sweden,'20,209,172,0.8229665071770335
