cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,12640,Crossref,571,0.04517405063291139
2017,Global,12640,Unpaywall,578,0.045727848101265824
2018,Global,12374,Crossref,409,0.03305317601422337
2018,Global,12374,Unpaywall,449,0.03628576046549216
2019,Global,13575,Crossref,1010,0.07440147329650092
2019,Global,13575,Unpaywall,1014,0.07469613259668509
2020,Global,13641,Crossref,1162,0.08518437064731324
2020,Global,13641,Unpaywall,1172,0.08591745473205777
2021,Global,14288,Crossref,2235,0.15642497200447927
2021,Global,14288,Unpaywall,2198,0.1538353863381859
2022,Global,13118,Crossref,2377,0.18120140265284343
2022,Global,13118,Unpaywall,2260,0.1722823601158713
2023,Global,12499,Crossref,2693,0.21545723657892632
2023,Global,12499,Unpaywall,2647,0.21177694215537243
2024,Global,2142,Crossref,403,0.18814192343604108
2024,Global,2142,Unpaywall,362,0.16900093370681607
