esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023
TaylorFrancis (ZBW),Germany,TDM Support,1,0.7719298245614035,0.41304347826086957,0,0,0,0
TaylorFrancis (ZBW),Germany,ORCID,0.3333333333333333,0.3684210526315789,0.4891304347826087,0.5480769230769231,0.725609756097561,0.7453416149068323,0.7111111111111111
TaylorFrancis (ZBW),Germany,Funder info,0.46153846153846156,0.45614035087719296,0.29347826086956524,0.4423076923076923,0.5548780487804879,0.5031055900621118,0.4666666666666667
TaylorFrancis (ZBW),Germany,Open Abstracts,0,0,0,0,0,0,0
TaylorFrancis (ZBW),Germany,Open Citations,1,0.9824561403508771,0.9565217391304348,0.9711538461538461,0.9939024390243902,0.9937888198757764,1
TaylorFrancis (ZBW),Global,TDM Support,0.9667250437828371,0.7100737100737101,0.5059642147117296,0,0,0,0
TaylorFrancis (ZBW),Global,ORCID,0.29246935201401053,0.44471744471744473,0.5069582504970179,0.6031061259706644,0.6894075403949731,0.7161125319693095,0.77625
TaylorFrancis (ZBW),Global,Funder info,0.4868651488616462,0.5773955773955773,0.38071570576540753,0.3943054357204487,0.44614003590664275,0.47271952259164535,0.5025
TaylorFrancis (ZBW),Global,Open Abstracts,0,0,0.0019880715705765406,0,0,0,0
TaylorFrancis (ZBW),Global,Open Citations,0.9772329246935202,0.9828009828009828,0.9701789264413518,0.9715271786022434,0.9793536804308797,0.9714407502131287,0.97625
