cr_year,jn_all,cc,cc_total,prop
2017,129,CC BY,0,0
2017,129,CC BY-SA,0,0
2017,129,CC BY-NC,0,0
2017,129,CC BY-NC-SA,0,0
2017,129,CC BY-ND,0,0
2017,129,CC BY-NC-ND,1,0.007751937984496124
2018,108,CC BY,0,0
2018,108,CC BY-SA,0,0
2018,108,CC BY-NC,0,0
2018,108,CC BY-NC-SA,0,0
2018,108,CC BY-ND,0,0
2018,108,CC BY-NC-ND,3,0.027777777777777776
2019,126,CC BY,0,0
2019,126,CC BY-SA,0,0
2019,126,CC BY-NC,0,0
2019,126,CC BY-NC-SA,0,0
2019,126,CC BY-ND,0,0
2019,126,CC BY-NC-ND,10,0.07936507936507936
2020,158,CC BY,0,0
2020,158,CC BY-SA,0,0
2020,158,CC BY-NC,0,0
2020,158,CC BY-NC-SA,0,0
2020,158,CC BY-ND,0,0
2020,158,CC BY-NC-ND,9,0.056962025316455694
2021,70,CC BY,1,0.014285714285714285
2021,70,CC BY-SA,0,0
2021,70,CC BY-NC,0,0
2021,70,CC BY-NC-SA,0,0
2021,70,CC BY-ND,0,0
2021,70,CC BY-NC-ND,21,0.3
2022,79,CC BY,2,0.02531645569620253
2022,79,CC BY-SA,0,0
2022,79,CC BY-NC,0,0
2022,79,CC BY-NC-SA,0,0
2022,79,CC BY-ND,0,0
2022,79,CC BY-NC-ND,16,0.20253164556962025
2023,55,CC BY,1,0.01818181818181818
2023,55,CC BY-SA,0,0
2023,55,CC BY-NC,0,0
2023,55,CC BY-NC-SA,0,0
2023,55,CC BY-ND,0,0
2023,55,CC BY-NC-ND,19,0.34545454545454546
2024,83,CC BY,2,0.024096385542168676
2024,83,CC BY-SA,0,0
2024,83,CC BY-NC,0,0
2024,83,CC BY-NC-SA,0,0
2024,83,CC BY-ND,0,0
2024,83,CC BY-NC-ND,16,0.1927710843373494
2025,67,CC BY,8,0.11940298507462686
2025,67,CC BY-SA,0,0
2025,67,CC BY-NC,0,0
2025,67,CC BY-NC-SA,0,0
2025,67,CC BY-ND,0,0
2025,67,CC BY-NC-ND,2,0.029850746268656716
2026,21,CC BY,4,0.19047619047619047
2026,21,CC BY-SA,0,0
2026,21,CC BY-NC,0,0
2026,21,CC BY-NC-SA,0,0
2026,21,CC BY-ND,0,0
2026,21,CC BY-NC-ND,1,0.047619047619047616
