country_name_fct,cr_year,articles,cc_total,prop
Germany,'17,83,1,0.012048192771084338
Germany,'18,85,3,0.03529411764705882
Germany,'19,84,10,0.11904761904761904
Germany,'20,72,9,0.125
Germany,'21,69,21,0.30434782608695654
Germany,'22,50,16,0.32
Germany,'23,55,20,0.36363636363636365
Germany,'24,55,17,0.3090909090909091
China,'17,26,0,0
China,'18,41,0,0
China,'19,38,1,0.02631578947368421
China,'20,64,0,0
China,'21,52,3,0.057692307692307696
China,'22,83,11,0.13253012048192772
China,'23,99,20,0.20202020202020202
China,'24,76,9,0.11842105263157894
United States,'17,75,4,0.05333333333333334
United States,'18,73,5,0.0684931506849315
United States,'19,66,1,0.015151515151515152
United States,'20,94,0,0
United States,'21,51,5,0.09803921568627451
United States,'22,29,2,0.06896551724137931
United States,'23,45,6,0.13333333333333333
United States,'24,31,3,0.0967741935483871
United Kingdom,'17,39,4,0.10256410256410256
United Kingdom,'18,24,7,0.2916666666666667
United Kingdom,'19,28,7,0.25
United Kingdom,'20,35,6,0.17142857142857143
United Kingdom,'21,39,5,0.1282051282051282
United Kingdom,'22,30,5,0.16666666666666666
United Kingdom,'23,17,0,0
United Kingdom,'24,14,4,0.2857142857142857
Brazil,'17,36,0,0
Brazil,'18,25,0,0
Brazil,'19,24,0,0
Brazil,'20,41,0,0
Brazil,'21,31,0,0
Brazil,'22,14,0,0
Brazil,'23,24,1,0.041666666666666664
Brazil,'24,25,0,0
Spain,'17,29,1,0.034482758620689655
Spain,'18,28,0,0
Spain,'19,17,0,0
Spain,'20,39,0,0
Spain,'21,25,0,0
Spain,'22,28,5,0.17857142857142858
Spain,'23,33,1,0.030303030303030304
Spain,'24,18,1,0.05555555555555555
Italy,'17,30,2,0.06666666666666667
Italy,'18,30,0,0
Italy,'19,27,1,0.037037037037037035
Italy,'20,36,2,0.05555555555555555
Italy,'21,23,2,0.08695652173913043
Italy,'22,22,3,0.13636363636363635
Italy,'23,30,1,0.03333333333333333
Italy,'24,18,6,0.3333333333333333
Japan,'17,27,0,0
Japan,'18,27,0,0
Japan,'19,18,2,0.1111111111111111
Japan,'20,23,3,0.13043478260869565
Japan,'21,18,5,0.2777777777777778
Japan,'22,20,6,0.3
Japan,'23,19,3,0.15789473684210525
Japan,'24,21,7,0.3333333333333333
Netherlands,'17,24,0,0
Netherlands,'18,34,0,0
Netherlands,'19,13,1,0.07692307692307693
Netherlands,'20,33,3,0.09090909090909091
Netherlands,'21,18,2,0.1111111111111111
Netherlands,'22,13,6,0.46153846153846156
Netherlands,'23,11,6,0.5454545454545454
Netherlands,'24,8,5,0.625
France,'17,16,0,0
France,'18,25,0,0
France,'19,20,0,0
France,'20,31,2,0.06451612903225806
France,'21,21,5,0.23809523809523808
France,'22,19,3,0.15789473684210525
France,'23,8,2,0.25
France,'24,6,2,0.3333333333333333
Canada,'17,11,0,0
Canada,'18,19,1,0.05263157894736842
Canada,'19,17,0,0
Canada,'20,19,4,0.21052631578947367
Canada,'21,16,2,0.125
Canada,'22,14,2,0.14285714285714285
Canada,'23,7,1,0.14285714285714285
Canada,'24,11,3,0.2727272727272727
Australia,'17,13,0,0
Australia,'18,18,0,0
Australia,'19,12,1,0.08333333333333333
Australia,'20,9,0,0
Australia,'21,16,1,0.0625
Australia,'22,10,3,0.3
Australia,'23,5,0,0
Australia,'24,4,0,0
Iran,'17,20,0,0
Iran,'18,21,0,0
Iran,'19,18,0,0
Iran,'20,8,0,0
Iran,'21,9,0,0
Iran,'22,4,1,0.25
Iran,'23,3,0,0
Iran,'24,1,0,0
Switzerland,'17,6,0,0
Switzerland,'18,9,0,0
Switzerland,'19,14,3,0.21428571428571427
Switzerland,'20,11,2,0.18181818181818182
Switzerland,'21,16,3,0.1875
Switzerland,'22,5,3,0.6
Switzerland,'23,9,2,0.2222222222222222
Switzerland,'24,5,2,0.4
Austria,'17,12,2,0.16666666666666666
Austria,'18,12,2,0.16666666666666666
Austria,'19,9,2,0.2222222222222222
Austria,'20,15,2,0.13333333333333333
Austria,'21,10,1,0.1
Austria,'22,8,2,0.25
Austria,'23,5,1,0.2
Austria,'24,2,0,0
Greece,'17,3,0,0
Greece,'18,10,0,0
Greece,'19,11,0,0
Greece,'20,19,0,0
Greece,'21,9,0,0
Greece,'22,8,1,0.125
Greece,'23,5,0,0
Greece,'24,2,0,0
Denmark,'17,8,0,0
Denmark,'18,11,0,0
Denmark,'19,7,0,0
Denmark,'20,10,0,0
Denmark,'21,7,1,0.14285714285714285
Denmark,'22,6,0,0
Denmark,'23,10,0,0
Denmark,'24,2,0,0
Poland,'17,12,1,0.08333333333333333
Poland,'18,10,0,0
Poland,'19,10,0,0
Poland,'20,6,0,0
Poland,'21,7,0,0
Poland,'22,6,3,0.5
Poland,'23,3,2,0.6666666666666666
Poland,'24,3,1,0.3333333333333333
Sweden,'17,13,1,0.07692307692307693
Sweden,'18,8,2,0.25
Sweden,'19,12,2,0.16666666666666666
Sweden,'20,8,1,0.125
Sweden,'21,3,0,0
Sweden,'22,3,1,0.3333333333333333
Sweden,'23,7,3,0.42857142857142855
Sweden,'24,2,2,1
South Korea,'17,1,0,0
South Korea,'18,10,0,0
South Korea,'19,9,0,0
South Korea,'20,11,0,0
South Korea,'21,4,0,0
South Korea,'22,3,0,0
South Korea,'23,6,3,0.5
South Korea,'24,11,2,0.18181818181818182
Other,'17,59,0,0
Other,'18,70,1,0.014285714285714285
Other,'19,60,1,0.016666666666666666
Other,'20,87,5,0.05747126436781609
Other,'21,85,4,0.047058823529411764
Other,'22,55,5,0.09090909090909091
Other,'23,59,8,0.13559322033898305
Other,'24,51,8,0.1568627450980392
