cr_year,jn_all,cc,cc_total,prop
2017,10624,CC BY,197,0.01854292168674699
2017,10624,CC BY-SA,0,0
2017,10624,CC BY-NC,130,0.01223644578313253
2017,10624,CC BY-NC-SA,0,0
2017,10624,CC BY-ND,0,0
2017,10624,CC BY-NC-ND,198,0.018637048192771084
2018,10937,CC BY,231,0.021120965529852792
2018,10937,CC BY-SA,0,0
2018,10937,CC BY-NC,209,0.019109445003200148
2018,10937,CC BY-NC-SA,2,1.828655024229679e-4
2018,10937,CC BY-ND,0,0
2018,10937,CC BY-NC-ND,243,0.0222181585443906
2019,10334,CC BY,2140,0.20708341397329205
2019,10334,CC BY-SA,0,0
2019,10334,CC BY-NC,730,0.07064060383201083
2019,10334,CC BY-NC-SA,0,0
2019,10334,CC BY-ND,2,1.9353590090961874e-4
2019,10334,CC BY-NC-ND,783,0.07576930520611573
2020,11684,CC BY,4781,0.4091920575145498
2020,11684,CC BY-SA,0,0
2020,11684,CC BY-NC,1782,0.15251626155426223
2020,11684,CC BY-NC-SA,0,0
2020,11684,CC BY-ND,5,4.279356384799726e-4
2020,11684,CC BY-NC-ND,2115,0.1810167750770284
2021,11772,CC BY,3745,0.31812776078831123
2021,11772,CC BY-SA,0,0
2021,11772,CC BY-NC,2248,0.1909616038056405
2021,11772,CC BY-NC-SA,0,0
2021,11772,CC BY-ND,3,2.5484199796126404e-4
2021,11772,CC BY-NC-ND,3814,0.32398912674142033
2022,10143,CC BY,3265,0.32189687469190575
2022,10143,CC BY-SA,0,0
2022,10143,CC BY-NC,2012,0.19836340333234742
2022,10143,CC BY-NC-SA,0,0
2022,10143,CC BY-ND,1,9.859016070196194e-5
2022,10143,CC BY-NC-ND,2983,0.29409444937395246
2023,5514,CC BY,1840,0.333696046427276
2023,5514,CC BY-SA,0,0
2023,5514,CC BY-NC,1006,0.18244468625317373
2023,5514,CC BY-NC-SA,0,0
2023,5514,CC BY-ND,0,0
2023,5514,CC BY-NC-ND,1572,0.2850924918389554
