cr_year,cc,cc_total,jn_all,prop
2017,CC BY,3946,195166,0.02021868563171864
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,1433,195166,0.007342467437975877
2017,CC BY-NC-SA,7,195166,3.586690304663722e-5
2017,CC BY-ND,7,195166,3.586690304663722e-5
2017,CC BY-NC-ND,2490,195166,0.012758369798018098
2018,CC BY,5258,204645,0.025693273717901734
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,2359,204645,0.011527278946468274
2018,CC BY-NC-SA,10,204645,4.8865107869725624e-5
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,3334,204645,0.01629162696376652
2019,CC BY,8911,202940,0.04390952991031832
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,3287,202940,0.016196905489307186
2019,CC BY-NC-SA,8,202940,3.94205183798167e-5
2019,CC BY-ND,7,202940,3.4492953582339605e-5
2019,CC BY-NC-ND,4204,202940,0.020715482408593673
2020,CC BY,17719,223330,0.0793399901491067
2020,CC BY-SA,1,223330,4.477678771324945e-6
2020,CC BY-NC,5503,223330,0.024640666278601172
2020,CC BY-NC-SA,3,223330,1.3433036313974836e-5
2020,CC BY-ND,8,223330,3.582143017059956e-5
2020,CC BY-NC-ND,7327,223330,0.03280795235749787
2021,CC BY,16903,218417,0.07738866480173247
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,7453,218417,0.034122801796563455
2021,CC BY-NC-SA,5,218417,2.289199100802593e-5
2021,CC BY-ND,7,218417,3.204878741123631e-5
2021,CC BY-NC-ND,14266,218417,0.0653154287440996
2022,CC BY,22425,207056,0.10830403369136851
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,10344,207056,0.049957499420446645
2022,CC BY-NC-SA,97,207056,4.684722973495093e-4
2022,CC BY-ND,12,207056,5.7955335754578474e-5
2022,CC BY-NC-ND,20279,207056,0.09793968781392473
2023,CC BY,9881,71600,0.1380027932960894
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,3859,71600,0.053896648044692734
2023,CC BY-NC-SA,2,71600,2.793296089385475e-5
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,7668,71600,0.10709497206703911
