country_name_fct,cr_year,articles,cc_total,prop
United States,'17,42352,1544,0.03645636569701549
United States,'18,42494,1929,0.04539464394973408
United States,'19,43164,2735,0.06336298767491429
United States,'20,44683,3494,0.07819528679811114
United States,'21,42738,4521,0.10578407974168187
United States,'22,37748,9393,0.24883437533114336
United States,'23,27330,9199,0.3365898280278083
China,'17,23200,346,0.014913793103448276
China,'18,29335,589,0.020078404636100222
China,'19,34630,1018,0.029396477043026278
China,'20,36906,1409,0.03817807402590365
China,'21,39405,1572,0.039893414541301866
China,'22,44274,2452,0.055382391471292404
China,'23,35733,3454,0.0966613494528867
United Kingdom,'17,12246,2273,0.1856116282867875
United Kingdom,'18,12023,2636,0.2192464443150628
United Kingdom,'19,11971,2639,0.22044941943028987
United Kingdom,'20,13100,5953,0.4544274809160305
United Kingdom,'21,12364,6026,0.4873827240375283
United Kingdom,'22,10950,7082,0.6467579908675799
United Kingdom,'23,7830,5428,0.6932311621966795
Germany,'17,10365,532,0.05132657983598649
Germany,'18,10727,685,0.06385755570056866
Germany,'19,10268,3762,0.36638098948188547
Germany,'20,11385,8595,0.7549407114624506
Germany,'21,11574,9759,0.8431829963711768
Germany,'22,9879,8172,0.8272092317036137
Germany,'23,7603,6379,0.8390109167433908
Australia,'17,8156,174,0.0213339872486513
Australia,'18,8461,261,0.03084741756293582
Australia,'19,8491,315,0.03709810387469085
Australia,'20,9180,490,0.05337690631808279
Australia,'21,9070,648,0.07144432194046306
Australia,'22,8321,4809,0.5779353443095782
Australia,'23,5700,3923,0.6882456140350878
Japan,'17,7916,376,0.04749873673572511
Japan,'18,8024,447,0.05570787637088734
Japan,'19,7879,596,0.0756441172737657
Japan,'20,8521,823,0.0965849078746626
Japan,'21,8135,976,0.11997541487400123
Japan,'22,7575,1071,0.14138613861386137
Japan,'23,5359,1223,0.22821421907072215
India,'17,4628,19,0.004105445116681072
India,'18,5089,45,0.008842601689919434
India,'19,5445,54,0.009917355371900827
India,'20,7094,93,0.013109670143783479
India,'21,7633,103,0.013494039041006158
India,'22,8405,196,0.02331945270672219
India,'23,5917,246,0.041575122528308264
Canada,'17,5748,215,0.037404314544189285
Canada,'18,5846,306,0.052343482723229556
Canada,'19,5917,350,0.05915159709312152
Canada,'20,6057,430,0.0709922403830279
Canada,'21,5909,626,0.10594009138602133
Canada,'22,5422,749,0.1381409074142383
Canada,'23,3869,2395,0.6190230033600413
Italy,'17,4915,146,0.02970498474059003
Italy,'18,5018,188,0.037465125548027105
Italy,'19,5094,266,0.05221829603455045
Italy,'20,6406,396,0.061817046518888544
Italy,'21,5677,2137,0.37643121366919147
Italy,'22,5188,2628,0.5065535851966075
Italy,'23,3766,2203,0.5849707912904939
France,'17,4902,179,0.03651570787433701
France,'18,4713,192,0.04073838319541693
France,'19,4778,265,0.05546253662620343
France,'20,5217,414,0.07935595169637723
France,'21,4931,580,0.1176232001622389
France,'22,4376,1717,0.3923674588665448
France,'23,3319,1693,0.5100934016269961
South Korea,'17,4143,53,0.012792662321988897
South Korea,'18,4523,103,0.02277249613088658
South Korea,'19,4258,115,0.027007984969469233
South Korea,'20,4234,177,0.04180444024563061
South Korea,'21,4175,221,0.052934131736526946
South Korea,'22,3836,378,0.09854014598540146
South Korea,'23,3030,536,0.1768976897689769
Spain,'17,4050,145,0.03580246913580247
Spain,'18,4142,155,0.0374215354901014
Spain,'19,4098,252,0.06149341142020498
Spain,'20,4657,367,0.07880609834657505
Spain,'21,4324,1645,0.3804347826086957
Spain,'22,3794,2303,0.6070110701107011
Spain,'23,2691,1728,0.6421404682274248
Brazil,'17,3161,17,0.005378044922492882
Brazil,'18,3612,46,0.01273532668881506
Brazil,'19,3849,56,0.014549233567160301
Brazil,'20,4495,119,0.026473859844271412
Brazil,'21,4286,161,0.03756416238917405
Brazil,'22,3556,168,0.047244094488188976
Brazil,'23,2342,165,0.07045260461144322
Netherlands,'17,3488,714,0.20470183486238533
Netherlands,'18,3554,1620,0.4558244231851435
Netherlands,'19,3492,2217,0.6348797250859106
Netherlands,'20,3565,2654,0.7444600280504908
Netherlands,'21,3452,2726,0.7896871378910776
Netherlands,'22,3154,2533,0.8031071655041218
Netherlands,'23,2311,1905,0.8243184768498486
Iran,'17,2252,6,0.0026642984014209592
Iran,'18,2857,2,7.000350017500875e-4
Iran,'19,3141,14,0.004457179242279528
Iran,'20,3298,44,0.013341419041843541
Iran,'21,2864,42,0.014664804469273743
Iran,'22,2615,64,0.024474187380497132
Iran,'23,1490,173,0.11610738255033556
Turkey,'17,1477,10,0.006770480704129994
Turkey,'18,1753,12,0.0068454078722190535
Turkey,'19,2096,15,0.00715648854961832
Turkey,'20,3128,32,0.010230179028132993
Turkey,'21,3370,42,0.012462908011869436
Turkey,'22,3165,79,0.024960505529225907
Turkey,'23,1947,409,0.21006676938880328
Switzerland,'17,2285,149,0.06520787746170678
Switzerland,'18,2228,236,0.1059245960502693
Switzerland,'19,2270,330,0.14537444933920704
Switzerland,'20,2363,461,0.19509098603470165
Switzerland,'21,2253,1204,0.534398579671549
Switzerland,'22,2095,1456,0.6949880668257756
Switzerland,'23,1639,1242,0.7577791336180598
Sweden,'17,2257,262,0.11608329641116526
Sweden,'18,2246,364,0.1620658949243099
Sweden,'19,2209,482,0.21819827976459938
Sweden,'20,2214,1582,0.7145438121047877
Sweden,'21,2261,1837,0.8124723573639983
Sweden,'22,2022,1725,0.8531157270029673
Sweden,'23,1479,1277,0.86342123056119
Denmark,'17,1700,77,0.045294117647058825
Denmark,'18,1712,138,0.08060747663551401
Denmark,'19,1658,128,0.07720144752714113
Denmark,'20,1768,227,0.12839366515837103
Denmark,'21,1727,270,0.1563404748118124
Denmark,'22,1532,1104,0.720626631853786
Denmark,'23,1272,993,0.7806603773584906
Taiwan,'17,1669,35,0.020970641102456562
Taiwan,'18,1661,40,0.024081878386514148
Taiwan,'19,1679,53,0.03156640857653365
Taiwan,'20,1628,70,0.042997542997543
Taiwan,'21,1618,79,0.04882571075401731
Taiwan,'22,1564,92,0.058823529411764705
Taiwan,'23,1223,128,0.10466067048242028
Other,'17,23506,944,0.040159959159363566
Other,'18,25177,1631,0.06478134805576519
Other,'19,26117,2662,0.10192594861584409
Other,'20,30627,4151,0.13553400594246906
Other,'21,29379,5538,0.1885019912182171
Other,'22,26375,7659,0.29038862559241707
Other,'23,18939,7184,0.37932308992027036
