cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,10482,Crossref,525,0.0500858614768174
2017,Germany,10482,Unpaywall,544,0.05189849265407365
2018,Germany,10735,Crossref,677,0.06306474149976711
2018,Germany,10735,Unpaywall,698,0.06502095947834187
2019,Germany,10184,Crossref,3656,0.35899450117831894
2019,Germany,10184,Unpaywall,3492,0.34289080911233305
2020,Germany,11493,Crossref,8642,0.7519359610197511
2020,Germany,11493,Unpaywall,7949,0.6916383885843557
2021,Germany,11538,Crossref,9726,0.842953718148726
2021,Germany,11538,Unpaywall,6725,0.5828566475992373
2022,Germany,9861,Crossref,8156,0.8270966433424602
2022,Germany,9861,Unpaywall,5206,0.5279383429672447
2023,Germany,6981,Crossref,5745,0.8229480017189514
2023,Germany,6981,Unpaywall,4099,0.587165162584157
