cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2017,American Chemical Society,de,CC BY,1,2514,3.977724741447892e-4
2017,American Physical Society,de,CC BY,46,1942,0.02368692070030896
2017,Cambridge University Press,de,CC BY,23,703,0.032716927453769556
2017,IEEE,de,CC BY,13,1067,0.01218369259606373
2017,IOP Publishing,de,CC BY,115,1487,0.0773369199731002
2017,Oxford University Press,de,CC BY,55,3044,0.01806833114323259
2017,Royal Society of Chemistry,de,CC BY,109,1469,0.0742001361470388
2017,Sage,de,CC BY,1,1424,7.022471910112359e-4
2017,Taylor and Francis,de,CC BY,69,2992,0.023061497326203207
2017,Wolters Kluwer Health,de,CC BY,5,1626,0.003075030750307503
2018,American Chemical Society,de,CC BY,4,2657,0.0015054572826496049
2018,American Physical Society,de,CC BY,253,2008,0.12599601593625498
2018,Cambridge University Press,de,CC BY,36,760,0.04736842105263158
2018,IEEE,de,CC BY,20,1181,0.01693480101608806
2018,IOP Publishing,de,CC BY,225,1345,0.16728624535315986
2018,Oxford University Press,de,CC BY,83,3179,0.026108839257628184
2018,Royal Society of Chemistry,de,CC BY,181,1369,0.13221329437545654
2018,Sage,de,CC BY,3,1438,0.002086230876216968
2018,Taylor and Francis,de,CC BY,102,2819,0.03618304363249379
2018,Wolters Kluwer Health,de,CC BY,1,1399,7.147962830593281e-4
2019,American Chemical Society,de,CC BY,4,2798,0.0014295925661186562
2019,American Physical Society,de,CC BY,245,1864,0.13143776824034334
2019,Cambridge University Press,de,CC BY,189,648,0.2916666666666667
2019,IEEE,de,CC BY,43,1133,0.03795233892321271
2019,IOP Publishing,de,CC BY,366,1100,0.3327272727272727
2019,Oxford University Press,de,CC BY,145,2136,0.06788389513108614
2019,Royal Society of Chemistry,de,CC BY,208,1365,0.1523809523809524
2019,Sage,de,CC BY,27,1475,0.01830508474576271
2019,Taylor and Francis,de,CC BY,154,3076,0.05006501950585176
2019,Wolters Kluwer Health,de,CC BY,3,1448,0.0020718232044198894
2020,American Chemical Society,de,CC BY,3,2687,0.0011164867882396724
2020,American Physical Society,de,CC BY,510,1828,0.2789934354485777
2020,Cambridge University Press,de,CC BY,251,759,0.33069828722002637
2020,IEEE,de,CC BY,152,1235,0.12307692307692308
2020,IOP Publishing,de,CC BY,474,1303,0.36377590176515734
2020,Oxford University Press,de,CC BY,270,2279,0.1184730144800351
2020,Royal Society of Chemistry,de,CC BY,266,1294,0.20556414219474498
2020,Sage,de,CC BY,186,1538,0.12093628088426528
2020,Taylor and Francis,de,CC BY,178,3018,0.058979456593770706
2020,Wolters Kluwer Health,de,CC BY,3,1444,0.002077562326869806
2021,American Chemical Society,de,CC BY,327,2684,0.12183308494783905
2021,American Physical Society,de,CC BY,496,1773,0.27975183305132545
2021,Cambridge University Press,de,CC BY,391,785,0.4980891719745223
2021,IEEE,de,CC BY,186,1386,0.1341991341991342
2021,IOP Publishing,de,CC BY,532,1019,0.5220804710500491
2021,Oxford University Press,de,CC BY,335,2273,0.14738231412230532
2021,Royal Society of Chemistry,de,CC BY,252,1207,0.2087821043910522
2021,Sage,de,CC BY,387,1521,0.25443786982248523
2021,Taylor and Francis,de,CC BY,233,3059,0.07616868257600523
2021,Wolters Kluwer Health,de,CC BY,7,1201,0.005828476269775187
2022,American Chemical Society,de,CC BY,331,2328,0.14218213058419243
2022,American Physical Society,de,CC BY,535,1647,0.32483302975106254
2022,Cambridge University Press,de,CC BY,431,774,0.5568475452196382
2022,IEEE,de,CC BY,238,1362,0.17474302496328928
2022,IOP Publishing,de,CC BY,611,1098,0.5564663023679417
2022,Oxford University Press,de,CC BY,378,2029,0.18629866929521932
2022,Royal Society of Chemistry,de,CC BY,383,1093,0.3504117108874657
2022,Sage,de,CC BY,439,1555,0.2823151125401929
2022,Taylor and Francis,de,CC BY,282,2783,0.1013295005389867
2022,Wolters Kluwer Health,de,CC BY,15,1080,0.013888888888888888
2023,American Chemical Society,de,CC BY,608,2308,0.2634315424610052
2023,American Physical Society,de,CC BY,520,1503,0.34597471723220224
2023,Cambridge University Press,de,CC BY,439,797,0.5508155583437893
2023,IEEE,de,CC BY,191,1216,0.15707236842105263
2023,IOP Publishing,de,CC BY,661,1174,0.5630323679727428
2023,Oxford University Press,de,CC BY,473,1898,0.24920969441517388
2023,Royal Society of Chemistry,de,CC BY,384,1015,0.3783251231527094
2023,Sage,de,CC BY,428,1502,0.28495339547270304
2023,Taylor and Francis,de,CC BY,316,2543,0.12426268187180496
2023,Wolters Kluwer Health,de,CC BY,25,1021,0.024485798237022526
2024,American Chemical Society,de,CC BY,435,970,0.4484536082474227
