cr_year,esac_publisher,cat,perc_cr,perc_upw,perc_diff
2017,Elsevier,Germany,0.054,0.076,-0.022
2017,Elsevier,Global,0.03,0.057,-0.027
2017,Springer Nature,Germany,0.067,0.061,0.005
2017,Springer Nature,Global,0.066,0.062,0.004
2017,Wiley,Germany,0.051,0.053,-0.001
2017,Wiley,Global,0.044,0.046,-0.002
2017,Taylor and Francis,Germany,0.059,0.061,-0.002
2017,Taylor and Francis,Global,0.031,0.031,-0.001
2017,Sage,Germany,0.003,0.023,-0.02
2017,Sage,Global,0.002,0.024,-0.022
2017,American Chemical Society,Germany,0.001,0.089,-0.088
2017,American Chemical Society,Global,0.001,0.062,-0.061
2017,Oxford University Press,Germany,0.042,0.079,-0.036
2017,Oxford University Press,Global,0.028,0.067,-0.039
2017,IEEE,Germany,0.01,0.022,-0.011
2017,IEEE,Global,0.009,0.074,-0.065
2017,Wolters Kluwer Health,Germany,0.023,0.029,-0.006
2017,Wolters Kluwer Health,Global,0.011,0.007,0.004
2017,Royal Society of Chemistry,Germany,0.087,0.185,-0.098
2017,Royal Society of Chemistry,Global,0.021,0.075,-0.054
2017,Cambridge University Press,Germany,0.038,0.037,0.002
2017,Cambridge University Press,Global,0.021,0.022,-0.001
2017,IOP Publishing,Germany,0.091,0.126,-0.035
2017,IOP Publishing,Global,0.039,0.056,-0.017
2017,American Physical Society,Germany,0.024,0.163,-0.139
2017,American Physical Society,Global,0.023,0.302,-0.279
2017,Walter de Gruyter,Germany,0.036,0.014,0.022
2017,Walter de Gruyter,Global,0.023,0.014,0.008
2017,Emerald,Germany,0,0.022,-0.022
2017,Emerald,Global,0.002,0.014,-0.012
2017,AIP Publishing,Germany,0.001,0.075,-0.074
2017,AIP Publishing,Global,0,0.114,-0.114
2017,Thieme,Germany,0.019,0.025,-0.006
2017,Thieme,Global,0.006,0.008,-0.002
2017,BMJ Publishing,Germany,0,0.147,-0.147
2017,BMJ Publishing,Global,0.002,0.096,-0.093
2017,Bentham Science Publishers,Germany,0.011,0,0.011
2017,Bentham Science Publishers,Global,0.002,0,0.002
2017,The Electrochemical Society,Germany,0,0.14,-0.14
2017,The Electrochemical Society,Global,0,0.056,-0.056
2017,Brill,Germany,0.014,0.017,-0.003
2017,Brill,Global,0.014,0.023,-0.009
2017,American Psychological Association,Germany,0.017,0.017,0
2017,American Psychological Association,Global,0.011,0.011,0
2017,"Mary Ann Liebert, Inc.",Germany,0,0.006,-0.006
2017,"Mary Ann Liebert, Inc.",Global,0,0.009,-0.009
2017,IOS Press,Germany,0.08,0,0.08
2017,IOS Press,Global,0.064,0.005,0.058
2017,Association for Computing Machinery,Germany,0,0.005,-0.005
2017,Association for Computing Machinery,Global,0.007,0.028,-0.021
2017,Karger,Germany,0.033,0.036,-0.003
2017,Karger,Global,0.039,0.04,-0.001
2017,Trans Tech Publications,Germany,0.123,0.123,0
2017,Trans Tech Publications,Global,0.008,0.008,0.001
2017,National Academy of Sciences,Germany,0.069,0.09,-0.021
2017,National Academy of Sciences,Global,0.053,0.07,-0.017
2017,Optica,Germany,0,0.032,-0.032
2017,Optica,Global,0,0.125,-0.125
2017,EDP Sciences,Germany,0,0.014,-0.014
2017,EDP Sciences,Global,0.001,0.013,-0.011
2017,American Physiological Society,Germany,0,0.042,-0.042
2017,American Physiological Society,Global,0,0.03,-0.03
2017,The Royal Society,Germany,0,0.186,-0.186
2017,The Royal Society,Global,0,0.213,-0.213
2017,Canadian Science Publishing,Germany,0,0,0
2017,Canadian Science Publishing,Global,0,0.011,-0.011
2017,Future Science Group,Germany,0,0.09,-0.09
2017,Future Science Group,Global,0,0.086,-0.086
2017,American Meteorological Society,Germany,0,0.606,-0.606
2017,American Meteorological Society,Global,0.023,0.667,-0.644
2017,CSIRO,Germany,0,0.026,-0.026
2017,CSIRO,Global,0,0.032,-0.032
2017,John Benjamins Publishing,Germany,0,0,0
2017,John Benjamins Publishing,Global,0.018,0.01,0.008
2017,Company of Biologists,Germany,0.028,0.716,-0.688
2017,Company of Biologists,Global,0.018,0.611,-0.593
2017,SPIE,Germany,0,0.273,-0.273
2017,SPIE,Global,0,0.125,-0.125
2017,Microbiology Society,Germany,0,0.075,-0.075
2017,Microbiology Society,Global,0.001,0.083,-0.083
2017,Hogrefe,Germany,0.024,0.021,0.003
2017,Hogrefe,Global,0.013,0.011,0.002
2017,Akadémiai Kiadó,Germany,0,0.111,-0.111
2017,Akadémiai Kiadó,Global,0.018,0.047,-0.029
2017,Society for Neuroscience,Germany,0,0.508,-0.508
2017,Society for Neuroscience,Global,0,0.464,-0.464
2017,Portland Press,Germany,0.125,0.125,0
2017,Portland Press,Global,0.21,0.208,0.001
2017,Radiological Society of North America,Germany,0,0.038,-0.038
2017,Radiological Society of North America,Global,0,0.024,-0.024
2017,Rockefeller University Press,Germany,0.073,0.964,-0.891
2017,Rockefeller University Press,Global,0.096,0.934,-0.838
2017,Bioscientifica,Germany,0.24,0.24,0
2017,Bioscientifica,Global,0.086,0.101,-0.016
2017,The Geological Society of London,Germany,0.083,0.083,0
2017,The Geological Society of London,Global,0.121,0.121,0
2017,European Respiratory Society,Germany,0,0.07,-0.07
2017,European Respiratory Society,Global,0,0.067,-0.067
2017,Inter-Research Science Publisher,Germany,0,0,0
2017,Inter-Research Science Publisher,Global,0,0,0
2017,Bristol University Press,Germany,0,0,0
2017,Bristol University Press,Global,0.053,0.053,0
2017,Royal College of General Practitioners,Germany,0,0,0
2017,Royal College of General Practitioners,Global,0,0.082,-0.082
2017,Cold Spring Harbor Laboratory Press,Germany,0,0.343,-0.343
2017,Cold Spring Harbor Laboratory Press,Global,0,0.504,-0.504
2017,Edward Elgar Publishing,Global,0,0.013,-0.013
2017,Royal Irish Academy,Global,0,0,0
2017,White Horse Press,Global,0,0,0
2018,Elsevier,Germany,0.065,0.089,-0.024
2018,Elsevier,Global,0.033,0.059,-0.026
2018,Springer Nature,Germany,0.074,0.074,-0
2018,Springer Nature,Global,0.069,0.072,-0.002
2018,Wiley,Germany,0.063,0.065,-0.001
2018,Wiley,Global,0.058,0.059,-0.001
2018,Taylor and Francis,Germany,0.063,0.065,-0.003
2018,Taylor and Francis,Global,0.023,0.025,-0.002
2018,Sage,Germany,0.008,0.032,-0.025
2018,Sage,Global,0.005,0.027,-0.023
2018,American Chemical Society,Germany,0.002,0.061,-0.058
2018,American Chemical Society,Global,0.001,0.045,-0.044
2018,Oxford University Press,Germany,0.079,0.089,-0.009
2018,Oxford University Press,Global,0.054,0.08,-0.026
2018,IEEE,Germany,0.015,0.035,-0.021
2018,IEEE,Global,0.011,0.075,-0.064
2018,Wolters Kluwer Health,Germany,0.026,0.044,-0.018
2018,Wolters Kluwer Health,Global,0.014,0.021,-0.006
2018,Royal Society of Chemistry,Germany,0.193,0.193,0
2018,Royal Society of Chemistry,Global,0.064,0.064,-0
2018,Cambridge University Press,Germany,0.051,0.053,-0.002
2018,Cambridge University Press,Global,0.029,0.03,-0
2018,IOP Publishing,Germany,0.238,0.222,0.016
2018,IOP Publishing,Global,0.067,0.059,0.008
2018,American Physical Society,Germany,0.129,0.233,-0.105
2018,American Physical Society,Global,0.141,0.38,-0.238
2018,Walter de Gruyter,Germany,0.026,0.014,0.011
2018,Walter de Gruyter,Global,0.025,0.021,0.004
2018,Emerald,Germany,0.003,0.024,-0.02
2018,Emerald,Global,0.005,0.015,-0.01
2018,AIP Publishing,Germany,0,0.085,-0.085
2018,AIP Publishing,Global,0,0.117,-0.117
2018,Thieme,Germany,0.024,0.025,-0.001
2018,Thieme,Global,0.009,0.013,-0.004
2018,BMJ Publishing,Germany,0.006,0.094,-0.088
2018,BMJ Publishing,Global,0.004,0.1,-0.096
2018,Bentham Science Publishers,Germany,0.022,0,0.022
2018,Bentham Science Publishers,Global,0.028,0,0.028
2018,The Electrochemical Society,Germany,0.392,0.287,0.105
2018,The Electrochemical Society,Global,0.084,0.056,0.029
2018,Brill,Germany,0.026,0.029,-0.003
2018,Brill,Global,0.016,0.026,-0.009
2018,American Psychological Association,Germany,0.008,0.008,0
2018,American Psychological Association,Global,0.009,0.009,0
2018,"Mary Ann Liebert, Inc.",Germany,0,0.047,-0.047
2018,"Mary Ann Liebert, Inc.",Global,0,0.02,-0.02
2018,IOS Press,Germany,0.1,0.047,0.053
2018,IOS Press,Global,0.072,0.026,0.046
2018,Association for Computing Machinery,Germany,0,0.004,-0.004
2018,Association for Computing Machinery,Global,0.004,0.026,-0.022
2018,Karger,Germany,0.032,0.034,-0.003
2018,Karger,Global,0.046,0.047,-0.001
2018,Trans Tech Publications,Germany,0.238,0.238,0
2018,Trans Tech Publications,Global,0.031,0.031,0
2018,National Academy of Sciences,Germany,0.448,0.452,-0.005
2018,National Academy of Sciences,Global,0.29,0.307,-0.016
2018,Optica,Germany,0,0.04,-0.04
2018,Optica,Global,0.001,0.113,-0.112
2018,EDP Sciences,Germany,0.033,0.033,0
2018,EDP Sciences,Global,0.105,0.104,0
2018,American Physiological Society,Germany,0,0.094,-0.094
2018,American Physiological Society,Global,0,0.043,-0.043
2018,The Royal Society,Germany,0,0.235,-0.235
2018,The Royal Society,Global,0,0.224,-0.224
2018,Canadian Science Publishing,Germany,0,0.05,-0.05
2018,Canadian Science Publishing,Global,0,0.022,-0.022
2018,Future Science Group,Germany,0,0.091,-0.091
2018,Future Science Group,Global,0,0.093,-0.093
2018,American Meteorological Society,Germany,0,0.239,-0.239
2018,American Meteorological Society,Global,0.017,0.361,-0.344
2018,CSIRO,Germany,0,0.12,-0.12
2018,CSIRO,Global,0,0.035,-0.035
2018,John Benjamins Publishing,Germany,0.013,0.013,0
2018,John Benjamins Publishing,Global,0.022,0.006,0.016
2018,Company of Biologists,Germany,0.053,0.766,-0.713
2018,Company of Biologists,Global,0.025,0.632,-0.607
2018,SPIE,Germany,0,0.316,-0.316
2018,SPIE,Global,0,0.126,-0.126
2018,Microbiology Society,Germany,0,0.078,-0.078
2018,Microbiology Society,Global,0.003,0.084,-0.082
2018,Hogrefe,Germany,0.025,0.025,0
2018,Hogrefe,Global,0.022,0.021,0.001
2018,Akadémiai Kiadó,Germany,0,0,0
2018,Akadémiai Kiadó,Global,0.016,0.094,-0.078
2018,Society for Neuroscience,Germany,0,0.434,-0.434
2018,Society for Neuroscience,Global,0,0.466,-0.466
2018,Portland Press,Germany,0.229,0.229,0
2018,Portland Press,Global,0.211,0.213,-0.001
2018,Radiological Society of North America,Germany,0,0.08,-0.08
2018,Radiological Society of North America,Global,0,0.026,-0.026
2018,Rockefeller University Press,Germany,0.245,0.959,-0.714
2018,Rockefeller University Press,Global,0.126,0.961,-0.835
2018,Bioscientifica,Germany,0.143,0.179,-0.036
2018,Bioscientifica,Global,0.093,0.104,-0.012
2018,The Geological Society of London,Germany,0.097,0.097,0
2018,The Geological Society of London,Global,0.093,0.103,-0.01
2018,European Respiratory Society,Germany,0,0.062,-0.062
2018,European Respiratory Society,Global,0.005,0.075,-0.07
2018,Inter-Research Science Publisher,Global,0,0,0
2018,Bristol University Press,Germany,0,0,0
2018,Bristol University Press,Global,0.055,0.055,0
2018,Royal College of General Practitioners,Germany,0,0,0
2018,Royal College of General Practitioners,Global,0,0.083,-0.083
2018,Cold Spring Harbor Laboratory Press,Germany,0,0.375,-0.375
2018,Cold Spring Harbor Laboratory Press,Global,0,0.53,-0.53
2018,Edward Elgar Publishing,Germany,0,0,0
2018,Edward Elgar Publishing,Global,0,0.02,-0.02
2018,Royal Irish Academy,Global,0,0,0
2018,White Horse Press,Global,0,0,0
2019,Elsevier,Germany,0.078,0.104,-0.026
2019,Elsevier,Global,0.037,0.075,-0.038
2019,Springer Nature,Germany,0.085,0.086,-0.002
2019,Springer Nature,Global,0.075,0.078,-0.003
2019,Wiley,Germany,0.365,0.346,0.019
2019,Wiley,Global,0.086,0.084,0.001
2019,Taylor and Francis,Germany,0.114,0.115,-0.001
2019,Taylor and Francis,Global,0.048,0.048,-0
2019,Sage,Germany,0.07,0.148,-0.079
2019,Sage,Global,0.015,0.034,-0.019
2019,American Chemical Society,Germany,0.004,0.157,-0.153
2019,American Chemical Society,Global,0.001,0.053,-0.051
2019,Oxford University Press,Germany,0.158,0.174,-0.015
2019,Oxford University Press,Global,0.088,0.119,-0.031
2019,IEEE,Germany,0.036,0.041,-0.005
2019,IEEE,Global,0.011,0.073,-0.062
2019,Wolters Kluwer Health,Germany,0.037,0.072,-0.035
2019,Wolters Kluwer Health,Global,0.023,0.034,-0.011
2019,Royal Society of Chemistry,Germany,0.294,0.294,0
2019,Royal Society of Chemistry,Global,0.074,0.075,-0
2019,Cambridge University Press,Germany,0.329,0.264,0.064
2019,Cambridge University Press,Global,0.048,0.046,0.002
2019,IOP Publishing,Germany,0.405,0.333,0.073
2019,IOP Publishing,Global,0.077,0.056,0.021
2019,American Physical Society,Germany,0.132,0.212,-0.08
2019,American Physical Society,Global,0.149,0.314,-0.165
2019,Walter de Gruyter,Germany,0.06,0.024,0.036
2019,Walter de Gruyter,Global,0.034,0.018,0.016
2019,Emerald,Germany,0,0.008,-0.008
2019,Emerald,Global,0,0.012,-0.012
2019,AIP Publishing,Germany,0,0.073,-0.073
2019,AIP Publishing,Global,0,0.115,-0.115
2019,Thieme,Germany,0.052,0.054,-0.002
2019,Thieme,Global,0.014,0.018,-0.004
2019,BMJ Publishing,Germany,0.087,0.197,-0.109
2019,BMJ Publishing,Global,0.034,0.109,-0.075
2019,Bentham Science Publishers,Germany,0.25,0,0.25
2019,Bentham Science Publishers,Global,0.192,0.003,0.189
2019,The Electrochemical Society,Germany,0.503,0.129,0.374
2019,The Electrochemical Society,Global,0.1,0.031,0.069
2019,Brill,Germany,0.042,0.037,0.005
2019,Brill,Global,0.035,0.035,-0
2019,American Psychological Association,Germany,0.011,0.011,0
2019,American Psychological Association,Global,0.007,0.007,0
2019,"Mary Ann Liebert, Inc.",Germany,0,0.148,-0.148
2019,"Mary Ann Liebert, Inc.",Global,0,0.068,-0.068
2019,IOS Press,Germany,0.072,0.058,0.014
2019,IOS Press,Global,0.068,0.055,0.013
2019,Association for Computing Machinery,Germany,0.012,0.008,0.004
2019,Association for Computing Machinery,Global,0.008,0.027,-0.018
2019,Karger,Germany,0.036,0.047,-0.011
2019,Karger,Global,0.05,0.054,-0.004
2019,Trans Tech Publications,Germany,0.125,0.125,0
2019,Trans Tech Publications,Global,0.017,0.017,0
2019,National Academy of Sciences,Germany,0.458,0.463,-0.005
2019,National Academy of Sciences,Global,0.322,0.333,-0.011
2019,Optica,Germany,0,0.019,-0.019
2019,Optica,Global,0,0.109,-0.109
2019,EDP Sciences,Germany,0.324,0.324,0
2019,EDP Sciences,Global,0.244,0.246,-0.001
2019,American Physiological Society,Germany,0,0.047,-0.047
2019,American Physiological Society,Global,0,0.042,-0.042
2019,The Royal Society,Germany,0,0.185,-0.185
2019,The Royal Society,Global,0,0.21,-0.21
2019,Canadian Science Publishing,Germany,0,0,0
2019,Canadian Science Publishing,Global,0,0.035,-0.035
2019,Future Science Group,Germany,0,0.225,-0.225
2019,Future Science Group,Global,0,0.122,-0.122
2019,American Meteorological Society,Germany,0.023,0.069,-0.046
2019,American Meteorological Society,Global,0.016,0.055,-0.039
2019,CSIRO,Germany,0,0.04,-0.04
2019,CSIRO,Global,0,0.069,-0.069
2019,John Benjamins Publishing,Germany,0.042,0.011,0.032
2019,John Benjamins Publishing,Global,0.033,0.011,0.022
2019,Company of Biologists,Germany,0.037,0.785,-0.748
2019,Company of Biologists,Global,0.028,0.625,-0.597
2019,SPIE,Germany,0,0.432,-0.432
2019,SPIE,Global,0.003,0.136,-0.133
2019,Microbiology Society,Germany,0,0.031,-0.031
2019,Microbiology Society,Global,0.005,0.083,-0.078
2019,Hogrefe,Germany,0.075,0.067,0.009
2019,Hogrefe,Global,0.044,0.038,0.006
2019,Akadémiai Kiadó,Germany,0,0.111,-0.111
2019,Akadémiai Kiadó,Global,0.105,0.388,-0.283
2019,Society for Neuroscience,Germany,0,0.373,-0.373
2019,Society for Neuroscience,Global,0,0.308,-0.308
2019,Portland Press,Germany,0.208,0.208,0
2019,Portland Press,Global,0.22,0.218,0.001
2019,Radiological Society of North America,Germany,0,0,0
2019,Radiological Society of North America,Global,0,0.026,-0.026
2019,Rockefeller University Press,Germany,0.209,0.977,-0.767
2019,Rockefeller University Press,Global,0.138,0.977,-0.84
2019,Bioscientifica,Germany,0.029,0.059,-0.029
2019,Bioscientifica,Global,0.091,0.101,-0.009
2019,The Geological Society of London,Germany,0,0,0
2019,The Geological Society of London,Global,0.128,0.128,0
2019,European Respiratory Society,Germany,0.129,0.161,-0.032
2019,European Respiratory Society,Global,0.066,0.105,-0.04
2019,Inter-Research Science Publisher,Global,0.002,0,0.002
2019,Bristol University Press,Germany,0.083,0,0.083
2019,Bristol University Press,Global,0.071,0.062,0.008
2019,Royal College of General Practitioners,Germany,0,0,0
2019,Royal College of General Practitioners,Global,0,0.093,-0.093
2019,Cold Spring Harbor Laboratory Press,Germany,0,0.6,-0.6
2019,Cold Spring Harbor Laboratory Press,Global,0,0.569,-0.569
2019,Edward Elgar Publishing,Germany,0,0,0
2019,Edward Elgar Publishing,Global,0.097,0.056,0.041
2019,Royal Irish Academy,Global,0,0,0
2019,White Horse Press,Germany,0,0,0
2019,White Horse Press,Global,0,0,0
2020,Elsevier,Germany,0.107,0.125,-0.018
2020,Elsevier,Global,0.051,0.086,-0.035
2020,Springer Nature,Germany,0.482,0.481,0.002
2020,Springer Nature,Global,0.111,0.114,-0.003
2020,Wiley,Germany,0.752,0.691,0.061
2020,Wiley,Global,0.14,0.131,0.009
2020,Taylor and Francis,Germany,0.144,0.143,0
2020,Taylor and Francis,Global,0.061,0.062,-0.001
2020,Sage,Germany,0.252,0.227,0.025
2020,Sage,Global,0.096,0.09,0.006
2020,American Chemical Society,Germany,0.011,0.154,-0.143
2020,American Chemical Society,Global,0.011,0.071,-0.06
2020,Oxford University Press,Germany,0.203,0.228,-0.025
2020,Oxford University Press,Global,0.109,0.145,-0.036
2020,IEEE,Germany,0.124,0.135,-0.01
2020,IEEE,Global,0.027,0.086,-0.06
2020,Wolters Kluwer Health,Germany,0.038,0.07,-0.032
2020,Wolters Kluwer Health,Global,0.028,0.039,-0.011
